StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,Q2,Q3,Q4,Q5,Q5_7_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q93,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q16_8_TEXT,Q18,Q17_1,Q19,Q20,Q94,Q21,Q95,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q41,Q42,Q43,Q44,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q54_8_TEXT,Q55,Q56,Q56_4_TEXT,Q57,Q57_9_TEXT,Q58
2024-05-15 12:17:13,2024-05-15 12:21:54,IP Address,100,280,True,2024-05-15 12:21:54,R_52GqAPCgF06FmaI,anonymous,EN,0.800000011920929,,,,,,1983,Yes,35613,I prefer not to answer,,I prefer not to answer,I prefer not to answer,"$70,001-80,000",College Graduate/BA or BS (4-year degree),No,No,No,,Yes,<1 year,Land/Wildlife Management,,Other,,Daily,100,No,No,,No,,"Lauderdale,Limestone,Morgan",Yes,True,I don't know,False,True,False,I don't know,True,True,Bites,Incinerate,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Yes,"Friends/Family,State Wildlife Agency,Social Media,Conferences",,Unsure,"One day, virtual conference",,"Rabies,Influenza,Vector borne diseases,CWD",,"WAR EAGLE "
2024-05-15 13:17:28,2024-05-15 13:26:01,IP Address,100,513,True,2024-05-15 13:26:02,R_2tsAJ8Pc8CX4IGV,anonymous,EN,0.8999999761581421,,,,,,1959,Yes,35475,White,,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,No,,Yes,>20 years,Land/Wildlife Management,,Private Industry,,Monthly,40,Yes,No,,Yes,Usually (>75%),"Dallas,Greene,Hale,Marengo,Perry,Pickens,Tuscaloosa",No,True,I don't know,False,True,False,I don't know,I don't know,I don't know,Bites,Bury,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Yes,"Academic Publications,Conferences",,Yes,"One day, in-person conference,One day, virtual conference",,"CWD,Other",LPDV in wild turkeys,
2024-05-15 13:24:32,2024-05-15 13:33:10,IP Address,100,518,True,2024-05-15 13:33:11,R_1f7RnaFedqV4XKi,anonymous,EN,0.800000011920929,,,,,,1995,Yes,36840,White,,No,Male,"$20,001-30,000",Graduate or Professional School,Yes,No,No,,Yes,1-5 years,Research,,Academic/Research Institution,,Monthly,30,Yes,No,,No,,Tallapoosa,Yes,True,False,False,I don't know,False,True,True,I don't know,Bites,Incinerate,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,No,"State Wildlife Agency,Academic Publications",,Yes,"One day, in-person conference,One day, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
2024-05-15 13:11:44,2024-05-15 13:39:01,IP Address,100,1636,True,2024-05-15 13:39:01,R_5woeMehkzVMZ0L4,anonymous,EN,0.800000011920929,,,,,,2000,Yes,36830,White,,No,Female,"$0-20,000",Graduate or Professional School,Yes,No,No,,Yes,1-5 years,Research,,Academic/Research Institution,,Rarely,20,No,No,,,,"Baldwin,Mobile",Yes,True,I don't know,False,I don't know,I don't know,I don't know,I don't know,I don't know,Bites,Field dress and consumption,Agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No,"State Wildlife Agency,Academic Publications,News Sources,Conferences",,Yes,"One day, in-person conference",,"CWD,One Health",,
2024-05-15 13:34:22,2024-05-15 13:40:56,IP Address,100,393,True,2024-05-15 13:40:56,R_50e26bjQvFqsB4G,anonymous,EN,0.8999999761581421,,,,,,1987,Yes,36732,White,,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,Yes,5-10 years,Land/Wildlife Management,,Private Industry,,Monthly,50,No,No,,,,"Greene,Perry,Sumter",Yes,True,False,False,True,False,True,I don't know,True,Bites,Ignore,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Yes,"State Wildlife Agency,Academic Publications,Social Media,Conferences",,Yes,"One day, in-person conference",,"Rabies,Influenza,CWD,SarsCoV2",,
2024-05-15 13:02:15,2024-05-15 14:07:21,IP Address,100,3905,True,2024-05-15 14:07:21,R_64Jh9SE3kWOi2Dn,anonymous,EN,0.8999999761581421,,,,,,1995,Yes,36830,Other,,Yes,Female,"$20,001-30,000",Graduate or Professional School,Yes,No,No,,Yes,5-10 years,Research,,Academic/Research Institution,,Weekly,30,Yes,Yes,Alive - Sedated,No,,Tallapoosa,Yes,True,False,False,I don't know,False,False,I don't know,I don't know,Bites,Ignore,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Yes,"State Wildlife Agency,Academic Publications,Conferences",,Yes,"One day, in-person conference,Other",two or three days in person,"Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,SarsCoV2",,
2024-05-15 13:55:30,2024-05-15 14:08:20,IP Address,100,769,True,2024-05-15 14:08:20,R_1Uj3ybWqGuK5bbP,anonymous,EN,0.800000011920929,,,,,,1987,Yes,35016,White,,No,Male,"$90,001-100,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Land/Wildlife Management,,Federal Government,,Daily,60,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Blount,Cullman,DeKalb,Etowah,Jackson,Jefferson,Limestone,Madison,Marshall,Morgan,Saint Clair,Tuscaloosa",Yes,True,False,False,True,False,True,I don't know,True,Bites,Ignore,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Yes,Other,Colleagues,Yes,"One day, in-person conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD",,
2024-05-15 14:11:07,2024-05-15 14:18:25,IP Address,100,438,True,2024-05-15 14:18:26,R_15blYV6wxynsLC1,anonymous,EN,0.8999999761581421,,,,,,1985,Yes,36804,White,,No,Male,"$100,001+",Graduate or Professional School,Yes,Yes,No,,Yes,10-20 years,Research,,Academic/Research Institution,,Rarely,10,No,Yes,Dead,Yes,Sometimes (25%-75%),"Barbour,Bullock,Chambers,Covington,Dallas,Hale,Lee",Yes,True,False,False,True,False,True,True,True,Bites,Incinerate,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Yes,"Academic Publications,News Sources",,Yes,"One day, virtual conference",,Vector borne diseases,,
2024-05-15 14:47:53,2024-05-15 14:53:26,IP Address,100,333,True,2024-05-15 14:53:27,R_2GCjdqVqJNFOoJr,anonymous,EN,0.8999999761581421,,,,,,1998,Yes,35565,White,,No,Male,"$50,001-60,000",College Graduate/BA or BS (4-year degree),No,No,Yes,<5 years,No,<1 year,Land/Wildlife Management,,Private Industry,,Daily,70,No,No,,,,"Franklin,Lawrence,Marion,Walker,Winston",Yes,True,I don't know,False,True,False,True,I don't know,I don't know,Bites,Place in a dumpster,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Yes,Academic Publications,,No,"One day, virtual conference",,CWD,,
2024-05-15 11:25:03,2024-05-15 15:54:50,IP Address,100,16187,True,2024-05-15 15:54:51,R_7JLqT2RlBR4FhS9,anonymous,EN,1,,,,,,1967,Yes,36532,White,,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Administration,,Federal Government,,Daily,20,Yes,No,,Yes,Usually (>75%),"Baldwin,Bibb,Cleburne,Conecuh,Escambia,Jackson,Lauderdale,Limestone",Yes,True,I don't know,True,True,I don't know,I don't know,True,True,Bites,Bury,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,No,"State Wildlife Agency,Academic Publications",,Yes,"One day, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
2024-05-15 16:08:31,2024-05-15 16:17:43,IP Address,100,552,True,2024-05-15 16:17:44,R_1mQeank6q7nDkCB,anonymous,EN,0.8999999761581421,,,,,,1957,Yes,35603,I prefer not to answer,,I prefer not to answer,Male,"$100,001+",Graduate or Professional School,Yes,Yes,No,,Yes,>20 years,Administration,,Federal Government,,Rarely,10,No,No,,,,,Yes,True,True,False,True,False,I don't know,I don't know,True,Bites,Incinerate,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Yes,Other,Wildlife Health Lab,Yes,"One day, virtual conference",,CWD,,
2024-05-15 18:27:34,2024-05-15 18:33:41,IP Address,100,367,True,2024-05-15 18:33:42,R_5qc0ZeUKIB5WKkh,anonymous,EN,0.8999999761581421,,,,,,1971,Yes,35503,White,,No,Male,"$100,001+",Did not graduate high school/no GED,No,No,No,,No,<1 year,Land/Wildlife Management,,Private Industry,,Monthly,10,No,No,,,,Walker,Yes,I don't know,False,False,I don't know,False,True,I don't know,True,I don't know,Field dress and consumption,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,Social Media",,Unsure,"Year-long, once a month, virtual conference",,CWD,,
2024-05-15 21:40:16,2024-05-15 21:50:07,IP Address,100,591,True,2024-05-15 21:50:08,R_2r7q83LSdX6JMc1,anonymous,EN,0.8999999761581421,,,,,,1984,Yes,35555,White,,No,Male,"$90,001-100,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,Yes,10-20 years,Land/Wildlife Management,,Private Industry,,Weekly,90,No,No,,Yes,Usually (>75%),"Bibb,Colbert,Cullman,Fayette,Franklin,Greene,Jefferson,Lamar,Lawrence,Limestone,Marion,Pickens,Shelby,Sumter,Tuscaloosa,Walker,Winston",Yes,True,False,False,True,False,True,True,True,Bites,Bury,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Academic Publications,,Yes,"One day, in-person conference",,"Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2",,
2024-05-15 22:22:17,2024-05-15 22:31:31,IP Address,100,554,True,2024-05-15 22:31:32,R_2pY7OU46Jg2FSRm,anonymous,EN,1,,,,,,1976,Yes,36092,White,,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,No,5-10 years,Land/Wildlife Management,,State/Provincial Government,,Monthly,50,Yes,Yes,Dead,Yes,Always (100%),"Autauga,Butler,Elmore,Fayette,Lauderdale,Montgomery",Yes,True,I don't know,False,True,False,I don't know,I don't know,True,Bites,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,No,"State Wildlife Agency,Social Media,News Sources,Conferences",,Unsure,"One day, virtual conference",,"Rabies,CWD",,
2024-05-16 06:30:03,2024-05-16 06:44:12,IP Address,100,849,True,2024-05-16 06:44:13,R_3YtEcbqy7vf3JS1,anonymous,EN,0.8999999761581421,,,,,,1963,Yes,35811,White,,No,Male,"$90,001-100,000",High school graduate/GED,No,No,No,,No,<1 year,Land/Wildlife Management,,Private Industry,,Daily,40,No,No,,,,Jackson,Yes,True,True,False,I don't know,I don't know,I don't know,I don't know,True,Feces,Ignore,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"Social Media,News Sources",,Yes,Other,Send info by email,"Rabies,One Health",,"Over all the health of animals is important.  Providing supplements and info of what to do and not to do to the public is very important. "
2024-05-16 08:49:27,2024-05-16 09:05:14,IP Address,100,947,True,2024-05-16 09:05:15,R_1qfwrMGnJM27O61,anonymous,EN,1,,,,,,2001,Yes,35043,Black or African American,,No,Female,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,<5 years,Yes,<1 year,Consulting,,Federal Government,,Rarely,10,No,No,,Yes,Always (100%),,Yes,True,I don't know,True,True,I don't know,I don't know,I don't know,True,Bites,I don't know,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Yes,"State Wildlife Agency,Academic Publications",,Yes,"One day, in-person conference,One day, virtual conference,Year-long, once a month, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
