"START","END","PROG","DURATION","FINISHED","RECORDED","ID","QSCORE","DOB","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY","ACTIVITYfill","othACTIVITY","AFFILIATE","AFFILIATEfill","othAFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","SOURCEfill","othSOURCE","INTEREST","FREEINFO","FREEINFOfill","othFREEINFO","TOPICS","TOPICSfill","othTOPICS","QSNCS","AGE","GENDERb","COUNTIEScount","FREEINFOcount","TOPICScount","SOURCEcount","PIGSp","BRUCEp","CWDp","FLUALp","FLUp","COVIDp","COVIDSPILLp","RABIESALp","RABIESp","TURKEYp","CORRECT","CORRECTmed","CORRECT50","CERTAINTY","CERTAINmed","CERTAIN50"
"5/21/2024 10:50","5/21/2024 10:59",100,542,TRUE,"5/21/2024 10:59","R_5At4RPWPx4LUKm5",1,1968,"Yes",35503,"White","No","Male",1,"1","1","0","0","","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"0","1","1","0","1","1","0","1","0","1","1","0","0","1","1","1","1",0,"State Wildlife Agency","","1",0,"One day virtual conference","",0,"Influenza,Leptospirosis,Vector borne diseases","","","1",1,6,1,3,1,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
"5/17/2024 7:55","5/17/2024 8:08",100,782,TRUE,"5/17/2024 8:08","R_5copT9PFYDi6zKg",0.800000012,1989,"Yes",36330,"White","No","Male",1,"1","1","0","1","1","1","0","Other","Land/Wildlife Management","Damage Management","Federal Government","Federal Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"0",1,0,0,1,1,1,0,0,1,0,"0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","1","1",0,"State Wildlife Agency,Academic Publications,Conferences","","1",0,"Year-long once a month virtual conference","",0,"Influenza,CWD","","Due to nation-wide changing population dynamics causing increase contact with wildlife, the sociological landscape decreasing people’s kNowledge of wildlife, and increased impact of diseases on populations and livestock; kNowledge of wildlife diseases among biologist will be critical in the future. ","1",1,4,1,2,3,1,1,1,1,1,1,0,1,1,0,5,0,0,8,0,1
"6/2/2024 16:00","6/2/2024 16:07",100,392,TRUE,"6/2/2024 16:07","R_5eeqoDzUjslQfe2",1,2001,"Yes",35749,"White","No","Male",0,"1","1","0","1","1","1","0","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,0,1,1,1,1,0,1,1,0,"0","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0",0,"State Wildlife Agency,Academic Publications","","1",0,"One day in-person conference","",0,"Rabies,Influenza,CWD,SarsCoV2","","","0",1,1,1,4,2,1,0,1,1,1,1,1,1,1,1,7,1,1,9,1,1
"5/29/2024 12:40","5/29/2024 13:25",100,2705,TRUE,"5/29/2024 13:25","R_5kFXfaUZucvwtqw",0.899999976,1975,"Yes",35633,"White","No","Male",0,"0","0","0","0","","0","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","0","1","1","1","Dead","Yes","Always (100%)",0,"0",1,1,1,1,1,1,0,0,1,0,"0","1","1","0","0","1","0","1","0","0","0","0","0","1","1","0","1",0,"State Wildlife Agency,Academic Publications,Conferences","","0",0,"One day virtual conference","",0,"CWD","","","1",1,2,1,1,3,1,1,1,1,1,1,1,1,1,0,7,1,1,9,1,1
"5/16/2024 7:40","5/16/2024 9:18",100,5874,TRUE,"5/16/2024 9:18","R_5mxRuKUOMKyQZb3",0.899999976,2000,"Yes",36832,"White","No","Female",0,"1","1","0","0","","0","0","Research","Research","","Academic/Research Institution","Academic/Research Institution","","1","0","1","1","Dead","Yes","Always (100%)",0,"1",1,0,1,1,1,0,0,0,1,0,"0","1","1","0","1","1","0","1","1","0","1","0","1","1","0","0","0",0,"State Wildlife Agency,Academic Publications,Social Media","","1",0,"Year-long once a month virtual conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,One Health,Other","white Nose syndrome fugal disease","","0",0,5,1,8,3,1,0,1,1,1,0,0,1,1,1,5,0,0,7,0,1
"5/21/2024 15:50","5/21/2024 16:10",100,1174,TRUE,"5/21/2024 16:10","R_5sSeoSfekmF7uHo",0.899999976,1998,"Yes",35640,"White","No","Male",1,"1","1","0","0","","0","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,0,1,1,1,0,0,0,1,0,"0","0","0","0","1","1","0","1","1","0","0","0","0","0","1","1","0",0,"State Wildlife Agency","","1",0,"One day in-person conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","For clarity on my experience, I am Not a certified wildlife biologist. I do have a bachelor's degree in biology (focus in ecology and field biology). I am a biologist aide for the state and I collect numerous disease samples from both wild pigs and deer.","0",1,6,1,8,1,1,0,1,1,1,0,0,0,1,1,5,0,0,6,0,1
"5/22/2024 19:26","5/22/2024 19:31",100,293,TRUE,"5/22/2024 19:31","R_60AFWUly7HhCH55",0.899999976,1981,"Yes",36863,"White","No","Female",0,"1","1","0","1","1","1","0","Research","Research","","Academic/Research Institution","Academic/Research Institution","","1","0","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1",0,"State Wildlife Agency,Academic Publications,News Sources","","1",0,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","","1",0,2,3,8,3,1,1,1,1,1,1,0,1,1,1,7,1,1,9,1,1
"5/23/2024 12:33","5/23/2024 12:50",100,1025,TRUE,"5/23/2024 12:50","R_6a8NaCJjnWomZse",0.600000024,1968,"Yes",36545,"White","No","Male",0,"0","0","0","0","","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,0,0,0,1,0,"0","1","1","0","0","0","0","0","1","1","0","0","0","1","1","1","1",0,"State Wildlife Agency","","1",0,"One day in-person conference,One day virtual conference","",1,"Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,SarsCoV2","","I don’t have any major concerns in this general area.","1",1,2,2,6,1,1,1,1,1,1,0,0,1,1,1,6,1,1,8,0,1
"5/29/2024 12:21","5/29/2024 12:32",100,627,TRUE,"5/29/2024 12:32","R_6EARznQTyvLUbGj",0.899999976,1984,"Yes",35072,"White","No","Male",0,"1","0","0","1","1","0","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,0,1,1,1,0,0,0,1,1,"0","0","1","0","1","0","0","1","0","1","1","1","1","1","0","1","1",0,"State Wildlife Agency","","1",0,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","",0,"Rabies,CWD,SarsCoV2","","","1",1,6,3,3,1,1,0,1,1,1,0,0,1,1,1,6,1,1,7,0,1
"5/20/2024 19:43","5/20/2024 19:54",100,661,TRUE,"5/20/2024 19:54","R_6m37Vwyaqqewby2",0.899999976,1994,"Yes",36051,"White","No","Male",1,"1","1","0","0","","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",0,0,1,1,1,0,0,1,1,0,"0","0","1","0","0","1","0","1","1","0","1","0","1","1","1","1","1",0,"State Wildlife Agency,Academic Publications,Conferences","","1",0,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","",0,"Influenza,Vector borne diseases,CWD","","","0",1,6,3,3,3,0,0,1,1,1,0,0,1,1,1,5,0,0,6,0,1
"5/24/2024 7:48","5/24/2024 7:59",100,651,TRUE,"5/24/2024 7:59","R_72C5VfcbQdEmLp7",1,1994,"Yes",36330,"White","No","Male",1,"1","1","0","0","","1","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,0,1,0,1,1,"0","1","0","0","1","0","0","1","1","1","0","1","0","1","0","1","1",1,"State Wildlife Agency,Academic Publications,News Sources,Conferences","","1",0,"Year-long once a month virtual conference","",0,"Rabies,Influenza,CWD","","","0",1,3,1,3,4,1,1,1,1,1,1,1,1,1,1,8,1,1,10,1,1
"5/15/2024 11:41","5/15/2024 11:49",100,494,TRUE,"5/15/2024 11:49","R_796lIRK8ECFLHXP",0.899999976,1990,"Yes",36874,"White","No","Male",1,"1","1","1","1","1","1","1","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","1","0","1","1","Dead","Yes","Always (100%)",1,"1",1,1,1,1,1,1,1,0,1,1,"0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","1","1",1,"State Wildlife Agency,Academic Publications,Conferences,Other","Professional Connections","1",0,"One day in-person conference","",0,"CWD,SarsCoV2,One Health","","","0",1,13,1,3,4,1,1,1,1,1,1,1,1,1,1,9,1,1,10,1,1
"5/22/2024 14:07","5/22/2024 14:17",100,579,TRUE,"5/22/2024 14:17","R_7DNTJuLmczsOduV",0.5,1988,"Yes",36360,"White","No","Male",1,"1","1","0","1","0","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",1,"1",1,0,1,1,1,1,0,0,1,1,"0","1","0","0","1","0","0","1","0","1","1","1","0","1","0","1","1",1,"State Wildlife Agency,Academic Publications,News Sources,Conferences","","1",0,"One day in-person conference","",0,"Other","ASF","","1",1,19,1,1,4,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
"5/20/2024 8:04","5/20/2024 8:16",100,662,TRUE,"5/20/2024 8:16","R_7iGFxFyKMKXdE5z",1,1973,"Yes",35474,"White","No","Male",1,"1","1","1","0","","1","1","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,0,1,1,1,1,0,0,1,0,"1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","0","1",0,"Academic Publications,Conferences","","1",0,"One day in-person conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","","","1",1,3,1,7,2,1,1,1,1,1,1,0,1,1,0,6,1,1,8,0,1
"5/21/2024 10:51","5/21/2024 11:21",100,1767,TRUE,"5/21/2024 11:21","R_7kOoZ6NeP5yYdFo",0.699999988,1973,"Yes",36251,"White","No","Male",0,"1","1","0","1","0","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","0","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"0","0","1","0","1","0","0","1","0","1","0","0","0","1","0","1","1",0,"State Wildlife Agency,Academic Publications,Conferences","","1",0,"One day virtual conference,Year-long once a month virtual conference","",0,"Other","Lymphoproliferative disease","","1",1,6,2,1,3,1,1,1,1,1,1,0,1,1,1,7,1,1,9,1,1
"5/23/2024 11:35","5/23/2024 11:45",100,599,TRUE,"5/23/2024 11:45","R_7mA9FnbkpuWksaB",0.800000012,1995,"Yes",35768,"White","No","Male",0,"1","1","0","1","1","1","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"0","1","1","0","0","1","0","1","0","1","1","0","0","1","1","1","1",0,"State Wildlife Agency,Academic Publications,Conferences","","1",0,"One day virtual conference","",0,"Rabies,Vector borne diseases,CWD","","","0",1,3,1,3,3,1,1,1,1,1,1,0,1,1,1,7,1,1,9,1,1
"5/17/2024 7:06","5/17/2024 7:14",100,482,TRUE,"5/17/2024 7:14","R_7QrdwJcIgsVbD38",0.699999988,1998,"Yes",36832,"White","No","Male",0,"1","1","0","1","1","1","0","Research","Research","","Academic/Research Institution","Academic/Research Institution","","1","0","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,1,"0","0","0","0","1","1","1","1","1","0","1","0","1","1","1","0","0",0,"Academic Publications,Conferences","","1",0,"One day in-person conference,One day virtual conference","",0,"Rabies,Influenza,Vector borne diseases,CWD","","","0",1,2,2,4,2,1,1,1,1,1,1,1,0,1,1,8,1,1,9,1,1
"5/16/2024 11:08","5/16/2024 11:11",60,198,FALSE,"8/16/2024 11:11","R_2TMYM108R9CoAgN",0.899999976,1962,"Yes",36421,"White","No","Male",1,"1","1","0","1","1","1","0","Research","Research","","Private Industry","Private Industry","","1","0","0","0",NA,"Yes","Always (100%)",0,"1",1,0,0,1,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"","",NA,0,"","",0,"","","","1",1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,6,1,1,10,1,1
"5/17/2024 5:19","5/17/2024 5:28",90,552,FALSE,"8/17/2024 5:28","R_7S9cVAL8ogGop5N",0.699999988,1970,"Yes",36024,"White","No","Male",1,"1","1","1","1","0","1","0","Land/Wildlife Management","Land/Wildlife Management","","Nonprofit/Conservation Organization","Nonprofit/Conservation Organization","","0","0","0","0",NA,"Yes","Always (100%)",0,"1",1,0,0,1,0,1,1,0,0,1,"0","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1",NA,0,"","",NA,0,"","",0,"","","","1",1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,5,0,0,8,0,1
"5/22/2024 13:10","5/28/2024 13:21",100,519064,TRUE,"5/28/2024 13:21","R_1CUHv1VQVYXTiOI",0.899999976,1977,"Yes",35677,"White","No","Male",1,"0","0","0","0","","0","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","0","1","0","0",NA,"Yes","Always (100%)",0,"1",1,0,1,0,0,0,0,0,1,0,"0","0","1","0","0","1","0","0","0","1","1","1","0","0","0","1","1",0,"State Wildlife Agency","","1",0,"Year-long once a month virtual conference","",0,"CWD","","","1",1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,3,0,0,5,0,0
"5/16/2024 8:49","5/16/2024 9:05",100,947,TRUE,"5/16/2024 9:05","R_1qfwrMGnJM27O61",1,2001,"Yes",35043,"Black or African American","No","Female",0,"1","1","0","1","1","1","0","Consulting","Consulting","","Federal Government","Federal Government","","0","0","0","0",NA,"Yes","Always (100%)",0,"1",1,0,0,1,0,0,0,0,1,0,"1","1","1","1","1","0","0","1","1","0","1","0","0","1","1","1","1",0,"State Wildlife Agency,Academic Publications","","1",0,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","","0",0,0,3,8,2,1,0,1,1,0,0,0,1,1,0,3,0,0,5,0,0
"5/16/2024 20:38","5/16/2024 20:50",100,735,TRUE,"5/16/2024 20:50","R_20Z5wSS1zdB0p5N",0.699999988,1985,"Yes",35115,"White","No","Male",1,"1","0","0","0","","0","0","Other","Other","","Other","Other","","1","1","0","0",NA,"Yes","Always (100%)",0,"1",1,1,0,1,1,1,0,0,1,1,"0","1","1","0","1","1","0","1","0","0","0","0","0","1","1","1","0",0,"Academic Publications,Conferences","","1",0,"One day in-person conference","",0,"Other","","","1",1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
"5/15/2024 11:43","5/15/2024 11:53",100,653,TRUE,"5/15/2024 11:53","R_23XTi9NdVIoRDnX",0.899999976,1972,"Yes",36879,"White","No","Male",1,"1","1","0","0","","1","1","Education","Education","","Academic/Research Institution","Academic/Research Institution","","0","0","0","0",NA,"Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"0","0","0","0","1","0","1","1","0","1","1","1","1","1","0","1","1",0,"State Wildlife Agency","","1",0,"One day in-person conference","",0,"Rabies,Leptospirosis,Raccoon roundworm,Vector borne diseases","","","1",1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
"5/28/2024 10:43","5/28/2024 11:08",100,1544,TRUE,"5/28/2024 11:08","R_302jCNSWwGXmxFe",0.899999976,1967,"Yes",35616,"White","No","Male",1,"0","0","0","0","","0","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","0",NA,"Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,1,"0","0","1","0","1","1","0","1","0","1","0","0","0","1","0","1","1",0,"State Wildlife Agency,Academic Publications,Conferences","","1",0,"One day in-person conference","",0,"Rabies,Influenza,CWD","","I have No further questions or concerns.","1",1,3,1,3,3,1,1,1,1,1,1,1,1,1,1,8,1,1,10,1,1
"5/23/2024 14:20","5/23/2024 14:45",100,1514,TRUE,"5/23/2024 14:45","R_31CzPCk55kiGSYh",0.5,1961,"Yes",36545,"White","No","Male",1,"1","1","1","1","0","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","0","0","0","0",NA,"Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"0","0","1","0","1","1","1","1","1","0","0","0","0","1","1","0","1",0,"State Wildlife Agency,Academic Publications,Conferences","","1",0,"One day in-person conference","",0,"Vector borne diseases,Other","","The question regarding the fresh turkey did Not offer sufficient information to make an informed decision.","1",1,4,1,2,3,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
"5/21/2024 9:52","5/21/2024 10:04",100,677,TRUE,"5/21/2024 10:04","R_3lAXApxAqxDaYBA",0.899999976,1999,"Yes",36832,"White","No","Female",0,"1","1","1","0","","1","0","Research","Research","","Academic/Research Institution","Academic/Research Institution","","0","0","0","0",NA,"Yes","Always (100%)",0,"1",1,0,1,1,1,1,1,0,1,1,"0","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","0",1,"State Wildlife Agency,Academic Publications,Social Media,News Sources","","1",0,"One day virtual conference, asynchroNous","A virtual and self paced program with checkpoints and resources such as videos and printouts or PDFs",1,"Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,One Health, All","Avian botulism and any diseases that can be spread through water","","0",0,5,2,7,4,1,0,1,1,1,1,1,1,1,1,8,1,1,9,1,1
"5/20/2024 9:01","5/20/2024 9:20",100,1168,TRUE,"5/20/2024 9:20","R_3yI1cPqaZ0UMtfH",1,1978,"Yes",36732,"White","No","Male",1,"1","1","1","1","0","1","1","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","0","0","0","0",NA,"Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"1","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1",0,"News Sources","","1",0,"One day virtual conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","","1",1,4,1,8,1,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
