"ID","AGE.x","AGEnum","RACE.x","GENDER.x","INCOME.x","EDUCATION.x","DEGREE.x","TWS.x","COURSE.x","SELFTITLE.x","LICENSE.x","COURSETIME.x","BIOTIME.x","KNOWcorrect","KNOWcertain","KNOWcorrmed","KNOWcorravg","KNOWcertmed","KNOWcertavg","CWDAL.x","BATS.x","PPEREQ.x","EHD.x","DARWIN.x","POPRED.x","POPPLAN.x","SURVEY.x","VACCINE.x","PREVAL.x","DIVERSE.x","CONSEQ.x","CLIMATE.x","EDREQ.x","INFO.x","HANDSON.x","attCONCERN","attMGMT","attEDU","ATTconcern","ATTmanage","ATTeducate","SDATE.x","STIME.x","EDATE.x","ETIME.x","PROG.x","DURATION.x","FINISHED.x","RECDATE.x","RECTIME.x","QSCORE.x","DOB.x","RESIDENT.x","ZIPCODE.x","RACE.y","ETHNICITY.x","GENDER.y","INCOME.y","EDUCATION.y","DEGREE.y","TWS.y","COURSE.y","COURSETIME.y","SELFTITLE.y","BIOTIME.y","ACTIVITY.x","ACTIVITYfill.x","othACTIVITY.x","AFFILIATE.x","AFFILIATEfill.x","othAFFILIATE.x","CONTACT.x","FIELD.x","COLLECT.x","HANDLE.x","STATE.x","PPE.x","PPETIME.x","COUNTIES.x","LICENSE.y","PIGS.x","BRUCE.x","CWD.x","FLUAL.x","FLU.x","COVID.x","COVIDSPILL.x","RABIESAL.x","RABIES.x","TURKEY.x","CWDAL.y","BATS.y","PPEREQ.y","EHD.y","DARWIN.y","POPRED.y","POPPLAN.y","SURVEY.y","VACCINE.y","PREVAL.y","DIVERSE.y","CONSEQ.y","CLIMATE.y","EDREQ.y","INFO.y","HANDSON.y","ACCESS.x","SOURCE.x","SOURCEfill.x","othSOURCE.x","INTEREST.x","FREEINFO.x","FREEINFOfill.x","othFREEINFO.x","TOPICS.x","TOPICSfill.x","othTOPICS.x","QSNCS.x","AGE.y","AGEbin.x","LOCATION.x","nSOURCE","nCOUNTIES","noSOURCE","PRACscore","PRACrisk","SDATE.y","STIME.y","EDATE.y","ETIME.y","PROG.y","DURATION.y","FINISHED.y","RECDATE.y","RECTIME.y","QSCORE.y","DOB.y","RESIDENT.y","ZIPCODE.y","RACE","ETHNICITY.y","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY.y","ACTIVITYfill.y","othACTIVITY.y","AFFILIATE.y","AFFILIATEfill.y","othAFFILIATE.y","CONTACT.y","FIELD.y","COLLECT.y","HANDLE.y","STATE.y","PPE.y","PPETIME.y","COUNTIES.y","LICENSE","PIGS.y","BRUCE.y","CWD.y","FLUAL.y","FLU.y","COVID.y","COVIDSPILL.y","RABIESAL.y","RABIES.y","TURKEY.y","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS.y","SOURCE.y","SOURCEfill.y","othSOURCE.y","INTEREST.y","FREEINFO.y","FREEINFOfill.y","othFREEINFO.y","TOPICS.y","TOPICSfill.y","othTOPICS.y","QSNCS.y","AGE","AGEbin.y","LOCATION.y","nFREEINFO","nTOPICS"
"R_2r7q83LSdX6JMc1",1,40,1,1,0,1,1,0,1,1,1,0,1,7,10,1,1,1,1,"Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree",3,4,2,1,1,1,"5/15/2024","9:40:00 AM","5/15/2024","9:50:00 AM",100,591,1,"5/15/2024","9:50:00 AM",0.899999976,1984,"Yes","35555","White","No","Male","$90,001-100,000","College Graduate/BA or BS (4-year degree)","Yes","No","Yes",">10 years","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","",1,1,0,0,NA,0,"Usually (>75%)",1,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Neutral","Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Yes",0,"Academic Publications","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2","","",40,"40–49","Fayette County",1,17,1,3,1,"5/15/2024","9:40:00 AM","5/15/2024","9:50:00 AM",100,591,1,"5/15/2024","9:50:00 AM",0.899999976,1984,"Yes","35555","White","No","Male","$90,001-100,000","College Graduate/BA or BS (4-year degree)","Yes","No","Yes",">10 years","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","Weekly",90,"No","No","","Yes","Usually (>75%)","Bibb,Colbert,Cullman,Fayette,Franklin,Greene,Jefferson,Lamar,Lawrence,Limestone,Marion,Pickens,Shelby,Sumter,Tuscaloosa,Walker,Winston","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Neutral","Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Academic Publications","Academic Publications","",1,"One day in-person conference","One day in-person conference","","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2","","",40,"40–49","Fayette County",1,5
"R_2tsAJ8Pc8CX4IGV",1,65,1,1,0,1,1,1,0,1,0,NA,1,5,6,0,0,0,0,"Disagree","Agree","Neutral","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Agree","Agree",2,1,2,0,0,1,"5/15/2024","1:17:00 AM","5/15/2024","1:26:00 AM",100,513,1,"5/15/2024","1:26:00 AM",0.899999976,1959,"Yes","35475","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","Yes","No","","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","",1,0,1,0,NA,0,"Usually (>75%)",1,"No","TRUE","I don't kNow","FALSE","TRUE","FALSE","I don't kNow","I don't kNow","I don't kNow","Bites","Bury","Strongly Disagree","Agree","Neutral","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Agree","Strongly Agree","Yes",0,"Academic Publications,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","CWD,Other","CWD,Other","LPDV in wild turkeys","",65,"60+","Tuscaloosa County",2,7,1,3,1,"5/15/2024","1:17:00 AM","5/15/2024","1:26:00 AM",100,513,1,"5/15/2024","1:26:00 AM",0.899999976,1959,"Yes","35475","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","Yes","No","","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","Monthly",40,"Yes","No","","Yes","Usually (>75%)","Dallas,Greene,Hale,Marengo,Perry,Pickens,Tuscaloosa","No","TRUE","I don't kNow","FALSE","TRUE","FALSE","I don't kNow","I don't kNow","I don't kNow","Bites","Bury","Strongly Disagree","Agree","Neutral","Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Agree","Strongly Agree","Yes","Academic Publications,Conferences","Academic Publications,Conferences","",1,"One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","CWD,Other","CWD,Other","LPDV in wild turkeys","",65,"60+","Tuscaloosa County",2,2
"R_2wiz7QrGcVirdmI",1,52,0,1,0,1,1,0,1,1,0,0,1,6,9,0,0,0,1,"Disagree","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Agree","Agree","Disagree","Disagree",3,4,2,1,1,1,"5/15/2024","11:04:00 AM","5/15/2024","11:11:00 AM",100,412,1,"5/15/2024","11:11:00 AM",0.699999988,1972,"Yes","36804","Asian","No","Male","$80,001-90,000","Graduate or Professional School","Yes","No","Yes",">10 years","Yes","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","",0,0,1,1,0,0,"Always (100%)",0,"No","TRUE","FALSE","FALSE","I don't kNow","FALSE","TRUE","TRUE","TRUE","Bites","Place in a dumpster","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Yes",0,"State Wildlife Agency,Academic Publications","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",52,"50–59","Lee County",2,1,1,2,0,"5/15/2024","11:04:00 AM","5/15/2024","11:11:00 AM",100,412,1,"5/15/2024","11:11:00 AM",0.699999988,1972,"Yes","36804","Asian","No","Male","$80,001-90,000","Graduate or Professional School","Yes","No","Yes",">10 years","Yes","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Rarely",20,"Yes","Yes","Alive - Not Sedated","Yes","Always (100%)","Lee","No","TRUE","FALSE","FALSE","I don't kNow","FALSE","TRUE","TRUE","TRUE","Bites","Place in a dumpster","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","",1,"One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",52,"50–59","Lee County",1,8
"R_302jCNSWwGXmxFe",1,57,1,1,0,0,0,0,0,0,1,NA,0,8,10,1,1,1,1,"Disagree","Neutral","Agree","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree",1,5,1,0,1,0,"5/28/2024","10:43:00 AM","5/28/2024","11:08:00 AM",100,1544,1,"5/28/2024","11:08:00 AM",0.899999976,1967,"Yes","35616","White","No","Male","$70,001-80,000","High school graduate/GED","No","No","No","","No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",1,1,1,0,NA,0,"Always (100%)",1,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Disagree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Yes",1,"State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","I have No further questions or concerns.",57,"50–59","Colbert County",3,3,1,4,1,"5/28/2024","10:43:00 AM","5/28/2024","11:08:00 AM",100,1544,1,"5/28/2024","11:08:00 AM",0.899999976,1967,"Yes","35616","White","No","Male","$70,001-80,000","High school graduate/GED","No","No","No","","No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",80,"Yes","No","","Yes","Always (100%)","Colbert,Franklin,Lauderdale","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Disagree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","",1,"One day in-person conference","One day in-person conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","I have No further questions or concerns.",57,"50–59","Colbert County",1,3
"R_30iTTbme947Y9K2",1,44,1,1,0,1,1,0,0,1,1,NA,1,5,7,0,0,0,0,"Disagree","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Disagree",0,5,3,0,1,1,"5/29/2024","10:46:00 AM","5/29/2024","11:07:00 AM",100,1259,1,"5/29/2024","11:07:00 AM",0.899999976,1980,"Yes","36567","White","No","Male","$90,001-100,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",1,1,0,0,NA,0,"Usually (>75%)",1,"Yes","TRUE","FALSE","TRUE","TRUE","FALSE","I don't kNow","I don't kNow","I don't kNow","Blood","Incinerate","Disagree","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Disagree","No",1,"State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference","","Other","All","All","",44,"40–49","Baldwin County",3,6,1,3,1,"5/29/2024","10:46:00 AM","5/29/2024","11:07:00 AM",100,1259,1,"5/29/2024","11:07:00 AM",0.899999976,1980,"Yes","36567","White","No","Male","$90,001-100,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",50,"No","No","","Yes","Usually (>75%)","Baldwin,Clarke,Escambia,Mobile,Monroe,Washington","Yes","TRUE","FALSE","TRUE","TRUE","FALSE","I don't kNow","I don't kNow","I don't kNow","Blood","Incinerate","Disagree","Neutral","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Disagree","Agree","Agree","Disagree","No","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","",1,"One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference","","Other","All","All","",44,"40–49","Baldwin County",2,1
"R_31CzPCk55kiGSYh",1,63,1,1,0,1,1,1,1,1,1,0,1,7,10,1,1,1,1,"Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Neutral",0,5,2,0,1,1,"5/23/2024","2:20:00 AM","5/23/2024","2:45:00 AM",100,1514,1,"5/23/2024","2:45:00 AM",0.5,1961,"Yes","36545","White","No","Male","$90,001-100,000","Graduate or Professional School","Yes","Yes","Yes",">10 years","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",0,1,0,0,NA,0,"Always (100%)",1,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Neutral","Yes",1,"State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference","One day in-person conference","","Vector borne diseases,Other","Vector borne diseases,Other","","The question regarding the fresh turkey did Not offer sufficient information to make an informed decision.",63,"60+","Clarke County",3,4,1,2,0,"5/23/2024","2:20:00 AM","5/23/2024","2:45:00 AM",100,1514,1,"5/23/2024","2:45:00 AM",0.5,1961,"Yes","36545","White","No","Male","$90,001-100,000","Graduate or Professional School","Yes","Yes","Yes",">10 years","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Rarely",50,"No","No","","Yes","Always (100%)","Choctaw,Clarke,Monroe,Washington","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","",1,"One day in-person conference","One day in-person conference","","Vector borne diseases,Other","Vector borne diseases,Other","","The question regarding the fresh turkey did Not offer sufficient information to make an informed decision.",63,"60+","Clarke County",1,2
"R_31r5JaaGXbNDlZL",0,23,1,0,0,1,1,0,0,0,0,NA,0,4,5,0,0,0,0,"Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Neutral","Disagree",3,3,2,1,0,1,"5/28/2024","8:20:00 AM","5/28/2024","8:25:00 AM",100,270,1,"5/28/2024","8:25:00 AM",NA,2001,"Yes","36830","White","No","Female","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No","","No","1-5 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","",1,0,0,1,0,0,"Usually (>75%)",0,"No","TRUE","I don't kNow","TRUE","TRUE","FALSE","I don't kNow","I don't kNow","I don't kNow","Bites","I don't kNow","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Neutral","Disagree","No",0,"State Wildlife Agency","","Yes","One day virtual conference, Other","One day virtual conference, asynchroNous","Async course","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health, All","Any other present diseases","",23,"20–29","Lee County",1,1,1,2,0,"5/28/2024","8:20:00 AM","5/28/2024","8:25:00 AM",100,270,1,"5/28/2024","8:25:00 AM",NA,2001,"Yes","36830","White","No","Female","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No","","No","1-5 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Daily",10,"No","Yes","Alive - Not Sedated","Yes","Usually (>75%)","Lee","No","TRUE","I don't kNow","TRUE","TRUE","FALSE","I don't kNow","I don't kNow","I don't kNow","Bites","I don't kNow","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Neutral","Disagree","No","State Wildlife Agency","State Wildlife Agency","",1,"One day virtual conference, Other","One day virtual conference, asynchroNous","Async course","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health, All","Any other present diseases","",23,"20–29","Lee County",2,9
"R_3AFnYo06quieDky",0,34,1,1,0,0,0,0,0,0,1,NA,0,7,10,1,1,1,1,"Agree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Neutral",4,4,2,1,1,1,"5/16/2024","4:32:00 AM","5/16/2024","4:40:00 AM",98,474,0,"8/16/2024","4:40:00 AM",0.899999976,1990,"Yes","35744","White","No","Male","$90,001-100,000","Some College/AA or AS (2-year degree)","No","No","No","","No","<1 year","Research","Research","","Private Industry","Private Industry","",1,1,0,0,NA,NA,"",0,"Yes","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Bites","Incinerate","Agree","Agree","Agree","Disagree","Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Disagree","Strongly Agree","Agree","Neutral","Yes",0,"State Wildlife Agency,Academic Publications","","Yes","One day virtual conference","One day virtual conference","","CWD","CWD","","",34,"30–39","Jackson County",2,1,1,2,0,"5/16/2024","4:32:00 AM","5/16/2024","4:40:00 AM",98,474,0,"8/16/2024","4:40:00 AM",0.899999976,1990,"Yes","35744","White","No","Male","$90,001-100,000","Some College/AA or AS (2-year degree)","No","No","No","","No","<1 year","Research","Research","","Private Industry","Private Industry","","Daily",50,"No","No","","","","Jackson","Yes","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Bites","Incinerate","Agree","Agree","Agree","Disagree","Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Disagree","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","",1,"One day virtual conference","One day virtual conference","","CWD","CWD","","",34,"30–39","Jackson County",1,1
"R_3KeVF91KL8u159I",0,27,1,1,0,1,1,0,0,1,1,NA,0,6,8,0,0,0,0,"Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral",3,3,2,1,0,1,"5/21/2024","11:14:00 AM","5/21/2024","11:37:00 AM",100,1352,1,"5/21/2024","11:37:00 AM",0.899999976,1997,"Yes","35907","White","No","Male","$0-20,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",1,1,1,1,1,0,"Always (100%)",1,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","I don't kNow","I don't kNow","TRUE","Bites","Place in a dumpster","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Yes",0,"State Wildlife Agency,I have Not looked for health information","","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","",27,"20–29","Etowah County",2,5,0,5,1,"5/21/2024","11:14:00 AM","5/21/2024","11:37:00 AM",100,1352,1,"5/21/2024","11:37:00 AM",0.899999976,1997,"Yes","35907","White","No","Male","$0-20,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",80,"Yes","Yes","Dead","Yes","Always (100%)","Blount,Calhoun,Cherokee,Cleburne,DeKalb","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","I don't kNow","I don't kNow","TRUE","Bites","Place in a dumpster","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency,I have Not looked for health information","State Wildlife Agency,I have Not looked for health information","",1,"Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","",27,"20–29","Etowah County",1,3
"R_3M4ZS861ivg6v7G",1,58,1,1,0,1,1,1,0,1,0,NA,1,8,9,1,1,0,1,"Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Neutral","Neutral","Disagree","Agree","Disagree","Disagree",1,3,2,0,0,1,"7/30/2024","6:12:00 AM","7/30/2024","6:20:00 AM",100,488,1,"7/30/2024","6:20:00 AM",1,1966,"Yes","36312","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","Yes","No","","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","Other","State/Provincial Government","Retired State of Alabama",1,1,1,1,1,1,"",1,"No","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Bites","Incinerate","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Strongly Disagree","Agree","Disagree","Disagree","Yes",0,"Other","SCWDS","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","Influenza,Leptospirosis,Vector borne diseases,CWD","Influenza,Leptospirosis,Vector borne diseases,CWD","","",58,"50–59","Houston County",1,12,1,6,1,"7/30/2024","6:12:00 AM","7/30/2024","6:20:00 AM",100,488,1,"7/30/2024","6:20:00 AM",1,1966,"Yes","36312","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","Yes","No","","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","Other","State/Provincial Government","Retired State of Alabama","Monthly",70,"Yes","Yes","Dead","No","","Barbour,Bullock,Coffee,Covington,Geneva,Henry,Houston,Lee,Macon,Montgomery,Pike,Russell","No","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Bites","Incinerate","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Strongly Disagree","Agree","Disagree","Disagree","Yes","Other","Other","SCWDS",1,"Year-long once a month virtual conference","Year-long once a month virtual conference","","Influenza,Leptospirosis,Vector borne diseases,CWD","Influenza,Leptospirosis,Vector borne diseases,CWD","","",58,"50–59","Houston County",1,4
"R_3NLfQynAGxl06eA",0,31,1,1,0,1,1,0,0,1,1,NA,0,6,9,0,0,0,1,"Disagree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Disagree",3,5,3,1,1,1,"5/31/2024","4:37:00 AM","5/31/2024","4:47:00 AM",100,634,1,"5/31/2024","4:47:00 AM",0.899999976,1993,"Yes","35096","White","No","Male","$50,001-60,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",1,1,1,1,1,0,"Always (100%)",1,"Yes","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Bites","Bury","Disagree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Disagree","Yes",0,"State Wildlife Agency,Academic Publications","","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","","",31,"30–39","Talladega County",2,14,1,5,1,"5/31/2024","4:37:00 AM","5/31/2024","4:47:00 AM",100,634,1,"5/31/2024","4:47:00 AM",0.899999976,1993,"Yes","35096","White","No","Male","$50,001-60,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",60,"Yes","Yes","Dead","Yes","Always (100%)","Calhoun,Chambers,Cherokee,Clay,Cleburne,Coosa,DeKalb,Etowah,Jackson,Marshall,Randolph,Saint Clair,Talladega,Tallapoosa","Yes","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Bites","Bury","Disagree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Disagree","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","",1,"Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","","",31,"30–39","Talladega County",1,4
