"START","END","PROG","DURATION","FINISHED","RECORDED","ID","QSCORE","DOB","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITYfill","ACTIVITYfill.1","othACTIVITY","AFFILIATE","AFFILIATEfill","othAFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","SOURCEfill","othSOURCE","INTEREST","FREEINFO","FREEINFOfill","othFREEINFO","TOPICS","TOPICSfill","othTOPICS","QSNCS","RACE_BIN","INCOME_BIN","GENDER_BIN","RESIDENT_BIN","AGE","AGE_BIN","SELFTITLE_BIN","ACTIVITY","LICENSE_BIN","BIOTIME_BIN","AFFILIATE_GROUP","ACTIVITY_GROUP","EDUCATION_BIN","DEGREE_BIN","TWS_BIN","COURSE_BIN","COURSETIME_BIN","COURSE_GROUP","DEMO_EDU_SCORE","DEMO_EDU_NORM","DEMO_EDU_AVG","DEMO_EDU_MED","DEMO_EXP_SCORE","DEMO_EXP_NORM","DEMO_EXP_AVG","DEMO_EXP_MED","PIGS_BINK","BRUCE_BINK","CWD_BINK","FLUAL_BINK","FLU_BINK","COVID_BINK","COVIDSPILL_BINK","RABIESAL_BINK","RABIES_BINK","TURKEY_BINK","KNOWLEDGE_SCORE","KNOWLEDGE_SCORE_NORM","KNOWLEDGE_AVG","KNOWLEDGE_MED","PIGS_BINC","BRUCE_BINC","CWD_BINC","FLUAL_BINC","FLU_BINC","COVID_BINC","COVIDSPILL_BINC","RABIESAL_BINC","RABIES_BINC","TURKEY_BINC","CONFIDENCE_SCORE","CONFIDENCE_SCORE_NORM","CONFIDENCE_AVG","CONFIDENCE_MED","POPRED_A","POPPLAN_A","SURVEY_A","VACCINE_A","PREVAL_A","DIVERSE_A","CONSEQ_A","CLIMATE_A","EDREQ_A","INFO_A","HANDSON_A","CWDAL_A","BATS_A","PPEREQ_A","EHD_A","DARWIN_A","ATT_CONTROL_SCORE","ATT_CONTROL_NORM","ATT_MISINFO_SCORE","ATT_MISINFO_NORM","ATT_CONCERN_SCORE","ATT_CONCERN_NORM","ATT_EDUCATION_SCORE","ATT_EDUCATION_NORM","ATT_REVERSE_SCORE","ATT_REVERSE_NORM","ATT_DIRECT_SCORE","ATT_DIRECT_NORM","CONTROL_AVG","CONTROL_MED","MISINFO_AVG","MISINFO_MED","CONCERN_AVG","CONCERN_MED","EDUCATION_AVG","EDUCATION_MED","REVERSE_AVG","REVERSE_MED","DIRECT_AVG","DIRECT_MED","TOPIC_COUNT","COLLECT_BIN","HANDLE_BIN","PPE_BIN","ACCESS_BIN","CONTACT_BIN","INTEREST_BIN","FIELD_BIN_MED","FIELD_BIN_50","STATE_BIN","PPETIME_BIN","FREEINFO_BIN_INPERSON","FREEINFO_BIN_VIRTUAL","FREEINFO_BIN_OTHER","TOPIC_BIN_RABIES","TOPIC_BIN_FLU","TOPIC_BIN_LEPTO","TOPIC_BIN_RR","TOPIC_BIN_VECTOR","TOPIC_BIN_CWD","TOPIC_BIN_COVID","TOPIC_BIN_ONEHEALTH","TOPIC_BIN_OTHER","TOPIC_BREADTH_BIN","SOURCE_BIN_FAMILY","SOURCE_BIN_AGENCY","SOURCE_BIN_ACADEMIC","SOURCE_BIN_SOCIAL","SOURCE_BIN_NEWS","SOURCE_BIN_CONFERENCES","SOURCE_BIN_NONE","SOURCE_BIN_OTHER","SOURCE_TRUST_COUNT","SOURCE_UNTRUST_COUNT","SOURCE_TRUST_BIN","PRACTICE_EXPOSURE_SCORE","PRACTICE_EXPOSURE_NORM","PRACTICE_AVG","PRACTICE_MED","PRACTICE_EDUCATION_SCORE","PRACTICE_EDUCATION_NORM"
"5/28/2024","5/28/2024",100,1544,TRUE,"5","R_302jCNSWwGXmxFe",0.899999976,1967,"Yes",35616,"White","No","Male","$70,001-80,000","High school graduate/GED","No","No","No",NA,"No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",80,"Yes","No","","Yes","Always (100%)","Colbert,Franklin,Lauderdale","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Disagree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","I have No further questions or concerns.",1,1,1,1,57,1,0,"Land/Wildlife Management",1,0,"Government","Fieldwork",0,0,0,0,NA,"None",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,4,3,3,3,4,3,2,4,3,5,3,5,3.5,0.7,4,0.8,3.33333333333333,0.666666666666667,3,0.6,3.28571428571429,0.657142857142857,3.625,0.725,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,NA,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,3,0,1,2,0.5,0,0,2,0.666666666666667
"5/23/2024","5/23/2024",100,1514,TRUE,"5","R_31CzPCk55kiGSYh",0.5,1961,"Yes",36545,"White","No","Male","$90,001-100,000","Graduate or Professional School","Yes","Yes","Yes",">10 years","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Rarely",50,"No","No","","Yes","Always (100%)","Choctaw,Clarke,Monroe,Washington","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Agree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference","One day in-person conference","","Vector borne diseases,Other","Vector borne diseases,Other","","The question regarding the fresh turkey did Not offer sufficient information to make an informed decision.",1,1,1,1,63,1,1,"Land/Wildlife Management",1,1,"Government","Fieldwork",1,1,1,1,0,"Older",2,1,1,0,3,0.75,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,3,2,2,1,5,2,3,5,2,4,5,5,3.83333333333333,0.766666666666667,5,1,2.33333333333333,0.466666666666667,3.33333333333333,0.666666666666667,4,0.8,3.375,0.675,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,NA,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,3,0,1,1,0.25,0,0,2,0.666666666666667
"5/21/2024","5/21/2024",100,677,TRUE,"5","R_3lAXApxAqxDaYBA",0.899999976,1999,"Yes",36832,"White","No","Female","$0-20,000","College Graduate/BA or BS (4-year degree)","Yes","Yes","No",NA,"Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Rarely",40,"No","No","","Yes","Always (100%)","Jackson,Lawrence,Lee,Limestone,Morgan","Yes","TRUE","I don't know","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","Bites","Incinerate","Neutral","Agree","Agree","Disagree","Strongly Disagree","Neutral","Disagree","Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","No","State Wildlife Agency,Academic Publications,Social Media,News Sources","State Wildlife Agency,Academic Publications,Social Media,News Sources","","Yes","One day virtual conference, Other","One day virtual conference, asynchroNous","A virtual and self paced program with checkpoints and resources such as videos and printouts or PDFs","Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,One Health,Other","Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,One Health, All","Avian botulism and any diseases that can be spread through water","",1,0,0,1,25,0,1,"Research",1,0,"Academic","Science/Technical",1,1,1,0,NA,"None",2,1,1,0,2,0.5,1,1,1,0,1,1,1,1,0,1,1,1,8,0.8,1,1,0,1,0,0,0,0,0,0,0,0,1,0.1,0,0,3,4,5,3,4,4,4,4,5,1,1,3,4,4,4,5,3.83333333333333,0.766666666666667,4,0.8,4,0.8,2.33333333333333,0.466666666666667,3,0.6,4.125,0.825,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,NA,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,2,2,0,0,0,0,0,2,0.666666666666667
"5/20/2024","5/20/2024",100,1168,TRUE,"5","R_3yI1cPqaZ0UMtfH",1,1978,"Yes",36732,"White","No","Male","$100,001+","Graduate or Professional School","Yes","Yes","Yes",">10 years","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","Rarely",50,"No","No","","Yes","Always (100%)","Dallas,Greene,Marengo,Wilcox","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Neutral","Agree","Agree","Disagree","Agree","Strongly Agree","Agree","Agree","Yes","News Sources","News Sources","","Yes","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",1,1,1,1,46,1,1,"Land/Wildlife Management",1,1,"Private","Fieldwork",1,1,1,1,0,"Older",2,1,1,0,3,0.75,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,4,4,2,4,5,2,2,2,4,4,4,4,4.16666666666667,0.833333333333333,3.33333333333333,0.666666666666667,3.33333333333333,0.666666666666667,3,0.6,3.28571428571429,0.657142857142857,3.875,0.775,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,NA,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0.25,0,0,2,0.666666666666667
"5/29/2024","5/29/2024",100,1298,TRUE,"5","R_53DEjlgAgVasJtD",1,1991,"Yes",36576,"White","No","Male","$70,001-80,000","College Graduate/BA or BS (4-year degree)","Yes","No","No",NA,"Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",60,"Yes","No","","Yes","Always (100%)","Baldwin,Mobile","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't know","I don't know","Bites","Ignore","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Vector borne diseases,CWD,SarsCoV2,One Health","Vector borne diseases,CWD,SarsCoV2,One Health","","",1,1,1,1,33,0,1,"Land/Wildlife Management",1,0,"Government","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,1,0.25,0,0,1,1,1,1,1,1,0,0,1,0,7,0.7,0,0,0,0,0,0,0,0,1,1,0,0,2,0.2,1,1,5,2,5,1,5,4,3,2,4,2,2,5,5,5,5,4,3.83333333333333,0.766666666666667,4.66666666666667,0.933333333333333,4,0.8,2.66666666666667,0.533333333333333,3.57142857142857,0.714285714285714,4,0.8,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,NA,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,3,0,1,3,0.75,1,1,3,1
"6/4/2024","6/4/2024",100,704,TRUE,"6","R_5Ci9S96Mb1l4thv",0.899999976,1983,"Yes",36830,"White","No","Male","$100,001+","Graduate or Professional School","Yes","No","No",NA,"Yes","5-10 years","Research","Research","","Federal Government","Federal Government","","Rarely",10,"No","No","","Yes","Always (100%)","Lauderdale","No","TRUE","I don't know","FALSE","TRUE","FALSE","TRUE","I don't know","I don't know","Bites","I don't know","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Strongly Agree","Agree","Disagree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Yes","I have Not looked for health information","I have Not looked for health information","","Unsure","One day in-person conference","One day in-person conference","","Rabies,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Vector borne diseases,CWD,SarsCoV2,One Health","","",1,1,1,1,41,1,1,"Research",0,0,"Government","Science/Technical",1,1,0,0,NA,"None",2,1,1,0,1,0.25,0,0,1,0,1,1,1,1,0,0,1,0,6,0.6,0,0,0,1,0,0,0,0,1,1,0,1,4,0.4,1,1,4,3,5,4,2,4,2,5,2,1,2,3,4,2,3,4,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,2.66666666666667,0.533333333333333,1.66666666666667,0.333333333333333,2.85714285714286,0.571428571428571,3.125,0.625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.666666666666667
"5/21/2024","5/21/2024",100,463,TRUE,"5","R_5H8z55hdlP40wut",0.600000024,1975,"Yes",35136,"White","No","Female","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","Yes",">10 years","Yes","10-20 years","Education","Education","","State/Provincial Government","State/Provincial Government","","Monthly",20,"No","No","","Yes","Always (100%)","Coosa,Dallas,Elmore,Montgomery,Tallapoosa","Yes","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Field dress and consumption","Disagree","Strongly Agree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","RHD and also parasites","",1,1,0,1,49,1,1,"Education",1,1,"Government","Education/Admin",1,1,0,1,0,"Older",2,1,1,0,2,0.5,1,1,1,0,1,1,1,1,1,1,1,0,8,0.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,1,5,2,4,1,5,1,4,4,5,4,5,4,3.66666666666667,0.733333333333333,4.33333333333333,0.866666666666667,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,3.57142857142857,0.714285714285714,3.875,0.775,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,3,0,1,0,0,0,0,2,0.666666666666667
"5/20/2024","5/20/2024",100,829,TRUE,"5","R_5R4EQsrUOLEYf05",1,1996,"Yes",35473,"White","No","Male","$30,001-40,000","College Graduate/BA or BS (4-year degree)","Yes","No","Yes","5-10 years","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",50,"Yes","No","","Yes","Always (100%)","Autauga,Bibb,Chilton,Colbert,Dallas,Greene,Hale,Jefferson,Lauderdale,Lowndes,Perry,Pickens,Shelby,Sumter,Tuscaloosa,Walker","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't know","TRUE","Bites","Bury","Disagree","Agree","Strongly Agree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Strongly Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",1,0,1,1,28,0,1,"Land/Wildlife Management",1,0,"Government","Fieldwork",1,1,0,1,1,"Recent",2,1,1,0,1,0.25,0,0,1,1,1,1,1,1,0,1,1,1,9,0.9,1,1,0,0,0,0,0,0,1,0,0,0,1,0.1,0,0,3,2,5,4,4,4,3,2,4,2,1,4,4,5,3,4,3.83333333333333,0.766666666666667,3.66666666666667,0.733333333333333,3.66666666666667,0.733333333333333,2.33333333333333,0.466666666666667,2.71428571428571,0.542857142857143,4.125,0.825,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,NA,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,3,0,1,3,0.75,0,0,2,0.666666666666667
"5/28/2024","5/28/2024",100,2432,TRUE,"5","R_5R8dAcdx8Ls1pHO",0.899999976,1962,"Yes",36567,"White","No","Male","$40,001-50,000","High school graduate/GED","No","No","No",NA,"No","<1 year","Research","Research","","Nonprofit/Conservation Organization","Nonprofit/Conservation Organization","","Daily",100,"Yes","No","","Yes","Always (100%)","Baldwin,Butler,Choctaw,Escambia,Mobile,Monroe,Washington","Yes","TRUE","FALSE","FALSE","I don't know","FALSE","I don't know","FALSE","TRUE","Bites","Bury","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Agree","Agree","Yes","State Wildlife Agency","State Wildlife Agency","","Yes","Year-long once a month virtual conference,Other","Year-long once a month virtual conference,Other","","CWD","CWD","","",1,0,1,1,62,1,0,"Research",1,0,"Nonprofit","Science/Technical",0,0,0,0,NA,"None",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,7,0.7,0,0,0,0,0,1,0,1,0,0,0,0,2,0.2,1,1,4,3,4,3,4,3,3,2,4,2,2,3,3,4,2,4,3.5,0.7,3,0.6,3.33333333333333,0.666666666666667,2.66666666666667,0.533333333333333,2.85714285714286,0.571428571428571,3.5,0.7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,NA,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,0.75,0,0,2,0.666666666666667
"5/21/2024","5/21/2024",100,3656,TRUE,"5","R_6EGbV8cpek98PhX",0.899999976,1991,"Yes",36695,"White","No","Male","$50,001-60,000","Graduate or Professional School","Yes","No","Yes","5-10 years","Yes","5-10 years","Education","Education","","Nonprofit/Conservation Organization","Nonprofit/Conservation Organization","","Rarely",20,"No","No","","Yes","Always (100%)","Baldwin,Mobile","Yes","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","I don't know","Bites","Field dress and consumption","Disagree","Neutral","Agree","Strongly Disagree","Disagree","Neutral","Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Vector borne diseases,CWD,SarsCoV2","Vector borne diseases,CWD,SarsCoV2","","",1,0,1,1,33,0,1,"Education",1,0,"Nonprofit","Education/Admin",1,1,0,1,1,"Recent",2,1,1,0,1,0.25,0,0,1,0,1,0,1,1,0,0,1,0,5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0.1,0,0,3,4,5,4,4,4,2,3,5,3,2,4,3,4,5,4,3.83333333333333,0.766666666666667,4.33333333333333,0.866666666666667,3.33333333333333,0.666666666666667,3.33333333333333,0.666666666666667,3.57142857142857,0.714285714285714,3.875,0.775,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,NA,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,3,0,1,0,0,1,1,3,1
"5/30/2024","5/30/2024",100,842,TRUE,"5","R_6h7cRKiDdzrTZSx",1,2003,"Yes",36830,"White","No","Male","$0-20,000","High school graduate/GED","No","No","Yes","<5 years","Yes","<1 year","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Weekly",70,"No","No","","Yes","Always (100%)","Lee,Macon","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't know","TRUE","Bites","I don't know","Neutral","Strongly Agree","Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Vector borne diseases,CWD","Rabies,Influenza,Vector borne diseases,CWD","","",1,0,1,1,21,0,1,"Land/Wildlife Management",1,0,"Government","Fieldwork",0,0,0,1,1,"Recent",0,0,0,0,1,0.25,0,0,1,1,1,1,1,1,0,1,1,0,8,0.8,1,1,0,0,0,0,0,0,1,0,0,1,2,0.2,1,1,3,3,4,5,3,4,3,4,5,2,2,3,5,2,3,5,3.66666666666667,0.733333333333333,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,3,0.6,3,0.6,3.875,0.775,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,NA,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,3,0,1,2,0.5,1,1,3,1
"5/21/2024","5/21/2024",100,758,TRUE,"5","R_6NPou7JBRT4b0Td",0.899999976,1992,"Yes",36874,"White","No","Female","$60,001-70,000","College Graduate/BA or BS (4-year degree)","Yes","No","No",NA,"Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",60,"Yes","No","","Yes","Always (100%)","Barbour,Elmore,Lee,Russell","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Disagree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Strongly Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Yes","Friends/Family,State Wildlife Agency,Academic Publications","Friends/Family,State Wildlife Agency,Academic Publications","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2,One Health","","",1,1,0,1,32,0,1,"Land/Wildlife Management",1,0,"Government","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,1,0.25,0,0,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,4,4,2,4,4,4,2,4,4,4,4,3,3.5,0.7,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,3.33333333333333,0.666666666666667,3.14285714285714,0.628571428571429,3.75,0.75,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,NA,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,2,1,1,2,0.5,1,1,3,1
"5/28/2024","5/28/2024",100,1836,TRUE,"5","R_6rN0uUoOCYoWkhp",0.800000012,1958,"Yes",36567,"White","No","Male","$30,001-40,000","High school graduate/GED","No","No","No",NA,"No","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",90,"No","No","","Yes","Always (100%)","Baldwin,Escambia,Mobile,Monroe,Washington","Yes","TRUE","FALSE","FALSE","TRUE","I don't know","FALSE","FALSE","TRUE","Bites","Incinerate","Disagree","Neutral","Agree","Disagree","Disagree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Yes","State Wildlife Agency,News Sources","State Wildlife Agency,News Sources","","Yes","One day in-person conference","One day in-person conference","","Other","Other","","being observant is a key factor ",1,0,1,1,66,1,0,"Land/Wildlife Management",1,1,"Government","Fieldwork",0,0,0,0,NA,"None",0,0,0,0,1,0.25,0,0,1,1,1,1,0,0,0,1,1,1,7,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0.1,0,0,3,4,4,3,3,3,2,2,4,2,3,4,3,4,4,4,3.5,0.7,4,0.8,2.66666666666667,0.533333333333333,3,0.6,3.42857142857143,0.685714285714286,3.25,0.65,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0.25,0,0,2,0.666666666666667
"5/17/2024","5/17/2024",100,1124,TRUE,"5","R_75qNfeFvrm9B1PX",0.899999976,1991,"Yes",36526,"White","No","Female","$100,001+","Graduate or Professional School","Yes","No","Yes",">10 years","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Weekly",30,"No","No","","Yes","Always (100%)","Baldwin,Bibb,Choctaw,Cullman,Franklin,Lawrence,Mobile,Washington","No","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Agree","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Yes","State Wildlife Agency","State Wildlife Agency","","Yes","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",1,1,0,1,33,0,1,"Land/Wildlife Management",0,0,"Government","Fieldwork",1,1,0,1,0,"Older",2,1,1,0,1,0.25,0,0,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,2,4,2,4,4,4,4,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,4,0.8,3.33333333333333,0.666666666666667,3.14285714285714,0.628571428571429,4,0.8,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,NA,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0.25,0,0,2,0.666666666666667
