"term","estimate","std.error","statistic","coef.type","p.value","attitude_item","significant"
"AGE_BIN",-0.858,0.371355748231019,-2.31086145074192,"coefficient",0.0208,"VACCINE_A","*"
"KNOWLEDGE_SCORE",0.25,0.166091072346247,1.50611625520252,"coefficient",0.132,"PREVAL_A",""
"CONFIDENCE_SCORE",-0.099,0.181895327626611,-0.544292202742166,"coefficient",0.5862,"PREVAL_A",""
"DEMO_EDU_SCORE",-0.297,0.254322868269547,-1.16783686463111,"coefficient",0.2429,"PREVAL_A",""
"DEMO_EXP_SCORE",0.162,0.239845970634951,0.677026194442337,"coefficient",0.4984,"PREVAL_A",""
"GENDER_BIN",-0.417,0.390524155926939,-1.06720976690021,"coefficient",0.2859,"PREVAL_A",""
"AGE_BIN",-0.119,0.366861049026568,-0.324621837577036,"coefficient",0.7455,"PREVAL_A",""
"KNOWLEDGE_SCORE",0.069,0.171630365090663,0.404499026542576,"coefficient",0.6858,"DIVERSE_A",""
"CONFIDENCE_SCORE",0.005,0.190299158122432,0.0259282129551072,"coefficient",0.9793,"DIVERSE_A",""
"DEMO_EDU_SCORE",0.152,0.254865726137292,0.595182701501253,"coefficient",0.5517,"DIVERSE_A",""
"DEMO_EXP_SCORE",0.071,0.239337558159916,0.295122072115026,"coefficient",0.7679,"DIVERSE_A",""
"GENDER_BIN",-0.125,0.390552047179488,-0.319415315551642,"coefficient",0.7494,"DIVERSE_A",""
"AGE_BIN",-0.81,0.380330440286663,-2.13078155292989,"coefficient",0.0331,"DIVERSE_A","*"
"KNOWLEDGE_SCORE",0.022,0.155086111244434,0.142665777268315,"coefficient",0.8866,"CONSEQ_A",""
"CONFIDENCE_SCORE",-0.077,0.181585419467695,-0.425575322480448,"coefficient",0.6704,"CONSEQ_A",""
"DEMO_EDU_SCORE",-0.008,0.247939971733568,-0.0317769341769624,"coefficient",0.9746,"CONSEQ_A",""
"DEMO_EXP_SCORE",-0.058,0.233043675328915,-0.247167423988095,"coefficient",0.8048,"CONSEQ_A",""
"GENDER_BIN",0.046,0.380144883693527,0.120871995975291,"coefficient",0.9038,"CONSEQ_A",""
"AGE_BIN",-0.299,0.362840153385099,-0.823575163417249,"coefficient",0.4102,"CONSEQ_A",""
"KNOWLEDGE_SCORE",0.01,0.14978560462669,0.0687749891453892,"coefficient",0.9452,"CLIMATE_A",""
"CONFIDENCE_SCORE",0.053,0.17904885373087,0.296901082283786,"coefficient",0.7665,"CLIMATE_A",""
"DEMO_EDU_SCORE",0.017,0.242045400772196,0.0706554437584871,"coefficient",0.9437,"CLIMATE_A",""
"DEMO_EXP_SCORE",-0.089,0.221198366103062,-0.4016722127914,"coefficient",0.6879,"CLIMATE_A",""
"GENDER_BIN",-1.674,0.393158910626105,-4.25808494717438,"coefficient",0,"CLIMATE_A","*"
"AGE_BIN",-0.794,0.355936830508626,-2.23043945635607,"coefficient",0.0257,"CLIMATE_A","*"
"KNOWLEDGE_SCORE",-0.323,0.183633354126916,-1.76118688828246,"coefficient",0.0782,"EDREQ_A",""
"CONFIDENCE_SCORE",-0.669,0.208838637889715,-3.20343375990155,"coefficient",0.0014,"EDREQ_A","*"
"DEMO_EDU_SCORE",-0.224,0.266490439324418,-0.840587204191838,"coefficient",0.4006,"EDREQ_A",""
"DEMO_EXP_SCORE",0.463,0.255638078368935,1.81056087412469,"coefficient",0.0702,"EDREQ_A",""
"GENDER_BIN",-1.888,0.465925327629612,-4.05286833788633,"coefficient",1e-04,"EDREQ_A","*"
"AGE_BIN",-0.5,0.399425456650596,-1.25088422560398,"coefficient",0.211,"EDREQ_A",""
"KNOWLEDGE_SCORE",0.211,0.171648574321686,1.23033311692533,"coefficient",0.2186,"INFO_A",""
"CONFIDENCE_SCORE",0.176,0.190942626882025,0.923809495656914,"coefficient",0.3556,"INFO_A",""
"DEMO_EDU_SCORE",0.279,0.247352579816311,1.12638047065556,"coefficient",0.26,"INFO_A",""
"DEMO_EXP_SCORE",-0.25,0.23169246529521,-1.08117317004856,"coefficient",0.2796,"INFO_A",""
"GENDER_BIN",-0.454,0.383775796503443,-1.18228889260482,"coefficient",0.2371,"INFO_A",""
"AGE_BIN",0.244,0.369957145360835,0.658821352008857,"coefficient",0.51,"INFO_A",""
"KNOWLEDGE_SCORE",-0.006,0.155963033163248,-0.0358059586692086,"coefficient",0.9714,"HANDSON_A",""
"CONFIDENCE_SCORE",-0.046,0.176765879308866,-0.260614034406226,"coefficient",0.7944,"HANDSON_A",""
"DEMO_EDU_SCORE",0.344,0.243885533285238,1.41163980266217,"coefficient",0.1581,"HANDSON_A",""
"DEMO_EXP_SCORE",-0.056,0.215797976003704,-0.260364907920863,"coefficient",0.7946,"HANDSON_A",""
"GENDER_BIN",-0.924,0.394031705629913,-2.34453327851595,"coefficient",0.0191,"HANDSON_A","*"
"AGE_BIN",0.575,0.361392791400856,1.59130640758012,"coefficient",0.1115,"HANDSON_A",""
"KNOWLEDGE_SCORE",0.24,0.164111117075684,1.45957947847202,"coefficient",0.1444,"CWDAL_A",""
"CONFIDENCE_SCORE",-0.082,0.181790586742509,-0.450094415942677,"coefficient",0.6526,"CWDAL_A",""
"DEMO_EDU_SCORE",0.702,0.255239793490386,2.74991111004756,"coefficient",0.006,"CWDAL_A","*"
"DEMO_EXP_SCORE",0.154,0.241100563504195,0.638384669574622,"coefficient",0.5232,"CWDAL_A",""
"GENDER_BIN",0.635,0.38712571365046,1.64094390939519,"coefficient",0.1008,"CWDAL_A",""
"AGE_BIN",-0.364,0.364740747868751,-0.998459813675037,"coefficient",0.3181,"CWDAL_A",""
"KNOWLEDGE_SCORE",-0.053,0.151617541773249,-0.34803634969514,"coefficient",0.7278,"BATS_A",""
"CONFIDENCE_SCORE",-0.145,0.174315636299644,-0.83425395893344,"coefficient",0.4041,"BATS_A",""
"DEMO_EDU_SCORE",-0.314,0.242893257568863,-1.29265991559133,"coefficient",0.1961,"BATS_A",""
"DEMO_EXP_SCORE",0.117,0.226972612293741,0.516950726882366,"coefficient",0.6052,"BATS_A",""
"GENDER_BIN",-0.079,0.390101337138956,-0.20259940078664,"coefficient",0.8394,"BATS_A",""
"AGE_BIN",-0.378,0.361798786750364,-1.0453373857988,"coefficient",0.2959,"BATS_A",""
"KNOWLEDGE_SCORE",-0.107,0.161011572434282,-0.662490880879179,"coefficient",0.5077,"PPEREQ_A",""
"CONFIDENCE_SCORE",-0.213,0.180150213467779,-1.18158723482406,"coefficient",0.2374,"PPEREQ_A",""
"DEMO_EDU_SCORE",-0.062,0.249611961530969,-0.247269144422397,"coefficient",0.8047,"PPEREQ_A",""
"DEMO_EXP_SCORE",0.076,0.229543401741977,0.332642479899898,"coefficient",0.7394,"PPEREQ_A",""
"GENDER_BIN",0.034,0.377569055902459,0.091228044637462,"coefficient",0.9273,"PPEREQ_A",""
"AGE_BIN",0.038,0.361689688581413,0.103736702339943,"coefficient",0.9174,"PPEREQ_A",""
"KNOWLEDGE_SCORE",0.043,0.15970919207974,0.271054314863389,"coefficient",0.7863,"EHD_A",""
"CONFIDENCE_SCORE",-0.409,0.184892817357401,-2.21472415965484,"coefficient",0.0268,"EHD_A","*"
"DEMO_EDU_SCORE",0.142,0.246266062229219,0.578198551688873,"coefficient",0.5631,"EHD_A",""
"DEMO_EXP_SCORE",0.565,0.238230163973273,2.37285134214405,"coefficient",0.0177,"EHD_A","*"
"GENDER_BIN",-0.189,0.392780721614417,-0.479929556455672,"coefficient",0.6313,"EHD_A",""
"AGE_BIN",0.268,0.366873360379714,0.730083452713948,"coefficient",0.4653,"EHD_A",""
"KNOWLEDGE_SCORE",-0.072,0.163140998122697,-0.439381458114923,"coefficient",0.6604,"DARWIN_A",""
"CONFIDENCE_SCORE",-0.443,0.188163455029056,-2.35636552798976,"coefficient",0.0185,"DARWIN_A","*"
"DEMO_EDU_SCORE",0.538,0.266616766036568,2.01881297393947,"coefficient",0.0435,"DARWIN_A","*"
"DEMO_EXP_SCORE",0.095,0.236247669689665,0.401727061778744,"coefficient",0.6879,"DARWIN_A",""
"GENDER_BIN",-1.533,0.431028852534342,-3.55655611309401,"coefficient",4e-04,"DARWIN_A","*"
"AGE_BIN",0.125,0.385970720429812,0.324949270806743,"coefficient",0.7452,"DARWIN_A",""
