"COMPLETE","ID","QSCORE","DOB","AGE","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY","AFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","INTEREST","FREEINFO","TOPICS","QSNCS","GENDERb","FREEINFOcount","TOPICScount","SOURCEcount","PIGSp","BRUCEp","CWDp","FLUALp","FLUp","COVIDp","COVIDSPILLp","RABIESALp","RABIESp","TURKEYp","COUNTIEScount"
100,"R_1qfwrMGnJM27O61",1,2001,"0","Yes",35043,"Black or African American","No","Female",0,"1","1","0","1","1","1","0","Consulting","Federal Government","0","0","0","0",NA,"0","0",0,"1","1","0","0","1","0","0","0","0","1","0","1","1","1","1","1","0","0","1","1","0","1","0","0","1","1","1","1",0,"1",1,1,"",0,7,8,2,"1","0","1","1","0","0","0","1","1","0",0
100,"R_2qgF0GjwNPxahkF",0.899999976,1991,"0","Yes",35475,"White","No","Male",1,"1","0","0","0","","0","0","Land/Wildlife Management","Private Industry","0","0","0","0",NA,NA,NA,0,"1","0","0","1","0","1","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0",0,"1",0,0,"",1,3,3,1,"0","0","1","0","1","0","0","1","1","0",4
100,"R_5mxRuKUOMKyQZb3",0.899999976,2000,"0","Yes",36832,"White","No","Female",0,"1","1","0","0","","0","0","Research","Academic/Research Institution","1","0","1","1","0","0","0",0,"1","1","0","1","1","1","0","0","0","1","0","0","1","1","0","1","1","0","1","1","0","1","0","1","1","0","0","0",0,"1",0,1,"",0,3,7,3,"1","0","1","1","1","0","0","1","1","1",5
100,"R_5etxkBW7hsVMgux",1,1962,"1","Yes",36027,"White","No","Male",1,"1","1","0","1","0","1","1","Land/Wildlife Management","Federal Government","1","0","0","0",NA,NA,NA,0,"1","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","0","1","1","0","0","1",0,"1",0,1,"",1,2,6,1,"1","1","1","1","1","0","1","1","1","1",1
100,"R_8ruCexoItVrrpgc",0.899999976,1971,"1","Yes",35603,"I prefer not to answer","I prefer not to answer","I prefer not to answer",1,"1","1","0","0","","0","0","Administration","Federal Government","0","0","0","0",NA,NA,NA,0,"1","1","1","1","1","1","1","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","1","1","1",0,"1",1,0,"",NA,7,3,3,"1","1","1","1","1","1","1","1","1","1",3
100,"R_3z5OikvnS39nRG9",1,1999,"0","Yes",36830,"White","No","Female",1,"1","1","0","1","1","1","0","Research","Academic/Research Institution","1","0","1","1","0","0","0",0,"1","1","1","1","1","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1",0,"1",1,1,"",0,7,8,3,"1","1","1","1","1","1","1","1","1","0",2
100,"R_7LONTWAVRb3079Y",1,1999,"0","Yes",36830,"Other","Yes","Male",0,"1","1","0","0","","1","0","Research","Academic/Research Institution","1","0","1","0",NA,"0","0",0,"1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1",0,"1",0,1,"",1,2,8,2,"1","1","1","0","1","1","1","1","1","0",6
100,"R_1CJXsOiDy2gHtdc",1,1980,"1","Yes",35967,"White","No","Male",1,"1","1","0","0","","1","0","Land/Wildlife Management","Private Industry","1","0","0","0",NA,"1",NA,0,"1","0","1","1","1","1","0","1","0","1","0","0","1","1","0","1","1","1","1","1","0","1","0","0","1","1","0","0",0,"1",0,0,"",1,2,1,1,"1","1","1","1","1","1","1","1","1","0",3
100,"R_7WSZBSZQFPnYKdj",1,1995,"0","Yes",35453,"White","No","Female",0,"1","1","0","1","1","1","1","Land/Wildlife Management","State/Provincial Government","1","1","0","0",NA,"0","0",0,"1","1","1","1","1","1","1","0","0","1","0","1","1","1","0","1","0","1","1","0","0","0","0","1","1","0","0","1",0,"1",1,0,"",0,4,3,2,"1","1","1","1","1","1","1","1","1","1",2
100,"R_5vUOqdqZTjixIsh",0.800000012,1961,"1","Yes",36013,"White","No","Male",1,"1","1","1","1","0","1","1","Consulting","Private Industry","1","1","0","0",NA,NA,NA,1,"1","1","0","1","1","1","1","0","0","1","0","1","1","0","0","1","1","1","1","1","1","1","0","0","1","1","0","1",0,"1",0,1,"",1,2,5,3,"1","0","1","1","1","1","0","1","1","0",12
100,"R_20Z5wSS1zdB0p5N",0.699999988,1985,"1","Yes",35115,"White","No","Male",1,"1","0","0","0","","0","0","Other","Other","1","1","0","0",NA,"0","0",0,"1","1","1","0","1","1","1","0","0","1","1","0","1","1","0","1","1","0","1","0","0","0","0","0","1","1","1","0",0,"1",0,0,"All diseases",1,2,1,2,"1","1","1","1","1","1","1","1","1","1",2
100,"R_7QrdwJcIgsVbD38",0.699999988,1998,"0","Yes",36832,"White","No","Male",0,"1","1","0","1","1","1","0","Research","Academic/Research Institution","1","0","1","1","0","0","0",0,"1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1","0","1","0","1","1","1","0","0",0,"1",1,0,"",1,4,4,2,"1","1","1","1","1","1","1","0","1","1",2
100,"R_5copT9PFYDi6zKg",0.800000012,1989,"0","Yes",36330,"White","No","Male",1,"1","1","0","1","1","1","0","Land/Wildlife Management","Federal Government","1","1","1","1","0","0","0",0,"0","1","0","0","1","1","1","0","0","1","0","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","1","1",0,"1",0,0,"Due to nation-wide changing population dynamics causing increase contact with wildlife, the sociological landscape decreasing people’s knowledge of wildlife, and increased impact of diseases on populations and livestock; knowledge of wildlife diseases among biologist will be critical in the future. ",1,3,2,3,"1","1","1","1","1","1","0","1","1","0",4
100,"R_75qNfeFvrm9B1PX",0.899999976,1991,"0","Yes",36526,"White","No","Female",1,"1","1","0","1","0","1","1","Land/Wildlife Management","Federal Government","1","0","0","0",NA,"0","0",0,"0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1",0,"1",0,1,"",0,2,8,1,"1","1","1","1","1","1","1","1","1","1",8
100,"R_8M6Bd5OXPYe6Ge6",0.800000012,1986,"1","Yes",36732,"White","No","Male",1,"1","1","0","1","0","1","1","Land/Wildlife Management","Private Industry","1","1","0","0",NA,NA,NA,0,"1","1","0","1","1","1","0","1","0","1","0","0","0","1","0","1","1","0","1","1","1","1","1","0","1","0","0","1",1,"1",1,1,"",1,4,6,5,"1","0","1","1","1","1","1","0","1","1",2
100,"R_5mI4mMiEWdppFIP",1,1986,"1","Yes",36804,"White","No","Male",1,"1","1","0","0","","1","0","Education","Academic/Research Institution","1","0","0","0",NA,"0","0",0,"1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1",1,"1",0,1,"",1,2,8,5,"1","1","1","1","1","1","1","0","1","1",1
100,"R_7MceahzsVWwx0l8",0.899999976,1967,"1","Yes",35476,"White","No","Male",1,"1","1","1","1","1","1","1","Consulting","Private Industry","1","0","1","1","0","0","0",1,"1","1","1","1","1","1","1","0","0","1","0","0","0","1","0","1","0","1","1","0","1","0","0","0","1","1","1","0",0,"1",0,0,"",1,2,3,1,"1","1","1","1","1","1","1","1","1","1",12
100,"R_7iGFxFyKMKXdE5z",1,1973,"1","Yes",35474,"White","No","Male",1,"1","1","1","0","","1","1","Land/Wildlife Management","Private Industry","1","1","1","1","0","0","0",0,"1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","1","0","1","1","0","1","1","1","0","1","1","0","1",0,"1",0,1,"",1,2,7,2,"1","1","1","1","1","1","0","1","1","0",3
100,"R_3yI1cPqaZ0UMtfH",1,1978,"1","Yes",36732,"White","No","Male",1,"1","1","1","1","0","1","1","Land/Wildlife Management","Private Industry","0","0","0","0",NA,"0","0",0,"1","1","1","1","1","1","1","0","0","1","0","1","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1",0,"1",0,1,"",1,2,8,1,"1","1","1","1","1","1","1","1","1","1",4
100,"R_6FkwpmqPbAAugkf",1,1994,"0","Yes",36483,"White","No","Other",0,"1","1","0","0","","1","1","Research","Academic/Research Institution","1","1","1","1","1","1",NA,0,"0","1","1","1","1","1","1","1","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","1","1","0","0","0",0,"1",0,1,"",NA,2,8,1,"1","1","1","1","1","1","1","1","1","0",2
100,"R_606Lc2OH7KNI4Yt",1,1995,"0","Yes",35057,"White","No","Female",0,"1","1","0","0","","1","0","Land/Wildlife Management","Federal Government","1","0","0","0",NA,NA,NA,0,"0","1","1","1","1","1","0","0","0","1","1","0","0","0","0","1","1","0","1","0","1","1","0","0","1","1","1","0",0,"1",0,1,"",0,2,7,3,"1","1","1","1","1","0","0","1","1","1",3
100,"R_7eQKegJEVacn6EB",0.899999976,1968,"1","Yes",36526,"I prefer not to answer","I prefer not to answer","I prefer not to answer",1,"1","1","1","0","","1","1","Administration","Federal Government","0","0","0","0",NA,NA,NA,0,"1","1","1","1","1","1","0","1","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","1","0","0",1,"1",0,1,"",NA,2,7,5,"1","1","1","1","1","0","1","1","1","0",2
100,"R_5R4EQsrUOLEYf05",1,1996,"0","Yes",35473,"White","No","Male",0,"1","1","0","1","1","1","0","Land/Wildlife Management","State/Provincial Government","1","0","1","0",NA,"0","0",1,"1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","1","1",0,"1",0,1,"",1,2,8,3,"1","1","1","1","1","1","0","1","1","1",16
100,"R_7TpBGzCaRQMxyGl",0.899999976,1989,"0","Yes",36604,"White","No","Male",0,"1","1","1","1","0","1","1","Land/Wildlife Management","Nonprofit/Conservation Organization","1","1","0","0",NA,"0","0",0,"0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","1","0","1","1","1","1","0","1","1","0","1","1",0,"1",1,0,"",1,4,2,3,"1","1","1","0","1","1","1","1","1","1",8
100,"R_1YaTWw2uLsfW24x",1,1976,"1","Yes",35741,"White","No","Female",1,"1","1","0","0","","1","1","Research","Academic/Research Institution","1","0","0","0",NA,"0","0",0,"1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1",0,"1",1,1,"I think it would be great as wildlife professionals, if we had better / more training on wildlife disease. I learned most of what I know from past field training involving the collection of blood or other tissues and with field necropsies -  typically done when working as a technician (also while working as an assistant in a veterinary office). But a lot of field work, especially involving the handling of non-game wildlife, in my experience didn't include training on zoonoses.  ",0,7,8,3,"1","1","1","1","1","1","0","1","1","1",5
100,"R_3zi3nGdTwrt5CFP",1,1991,"0","Yes",35404,"White","No","Male",1,"1","1","0","1","0","0","1","Land/Wildlife Management","Private Industry","1","0","0","0",NA,NA,NA,1,"1","1","1","1","0","1","1","0","0","1","0","0","1","1","0","1","1","0","1","0","1","1","0","0","0","1","1","1",0,"1",1,0,"",1,4,4,2,"1","1","1","1","1","1","0","1","1","1",13
100,"R_5CDPLXtMzLEX5kC",0.899999976,1991,"0","Yes",36067,"I prefer not to answer","Yes","Female",1,"1","1","0","1","0","1","1","Research","State/Provincial Government","1","1","1","0",NA,"1",NA,0,"1","1","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","1","1","1","0","0",0,"1",0,1,"",0,2,6,1,"1","1","1","1","1","1","1","1","1","1",2
100,"R_3msJFzB0Ajssny6",0.899999976,1969,"1","Yes",35463,"White","No","Male",0,"1","1","1","0","","1","1","Land/Wildlife Management","Private Industry","1","1","1","0",NA,"1",NA,0,"1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",1,"1",0,1,"",1,2,8,6,"1","0","0","1","1","0","0","1","1","0",1
100,"R_6dLKXzoGXULChs6",0.699999988,1992,"0","Yes",36066,"White","No","Female",0,"1","1","0","0","","1","0","Consulting","State/Provincial Government","1","1","0","0",NA,NA,NA,1,"0","1","1","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1","1",1,"1",1,0,"",0,7,4,4,"1","1","1","1","1","0","1","0","1","1",67
100,"R_6m37Vwyaqqewby2",0.899999976,1994,"0","Yes",36051,"White","No","Male",1,"1","1","0","0","","1","1","Land/Wildlife Management","State/Provincial Government","1","1","1","1","0","0","0",0,"1","0","0","1","1","1","0","0","1","1","0","0","0","1","0","0","1","0","1","1","0","1","0","1","1","1","1","1",0,"1",1,0,"",1,7,3,3,"0","0","1","1","1","0","0","1","1","1",6
100,"R_7y77fUZRM093I2A",0.899999976,1984,"1","Yes",36579,"White","No","Male",1,"1","1","1","0","","1","1","Land/Wildlife Management","Nonprofit/Conservation Organization","1","0","0","0",NA,NA,NA,0,"1","1","1","1","1","1","1","0","0","1","0","0","1","0","0","1","1","1","1","0","1","1","0","0","1","0","1","0",0,"1",1,1,"",1,7,6,2,"1","1","1","1","1","1","1","1","1","1",5
100,"R_6immB8ivIuzZmJa",0.100000001,2000,"0","Yes",36832,"White","No","Female",1,"1","1","0","1","1","1","0","Research","Academic/Research Institution","0","0","0","0",NA,"0","1",0,"1","1","1","0","1","1","1","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0","1",0,"1",1,1,"",0,5,6,1,"1","1","1","1","1","1","1","1","1","1",0
100,"R_532MOldCQdFN7cl",0.899999976,1993,"0","Yes",35160,"White","No","Male",1,"1","1","0","1","1","1","1","Research","Academic/Research Institution","1","0","1","1","1",NA,NA,0,"1","1","0","1","1","1","1","0","0","1","1","0","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1",0,"0",0,0,"Asynchronous course",1,2,1,2,"1","1","1","1","1","1","1","1","1","1",7
100,"R_5PaaAST3M6W9Z1T",0.899999976,1999,"0","Yes",35019,"White","No","Male",0,"1","0","0","1","1","1","0","Land/Wildlife Management","Academic/Research Institution","1","0","1","1","0","1",NA,0,"1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","1","1","1","1","1","0","0","0",0,"1",0,0,"Alabama should focus on removing the non-historical species such as the coyote and bring back the native red wolf.  Wolves have been proven over and over to balance the eco-system, will kill feral pigs, and studies have shown can take the weak/sick deer that reduces CWD.",1,3,3,1,"1","1","1","1","1","1","1","1","1","1",2
100,"R_7eRrAopdWys4g9n",0.899999976,1991,"0","Yes",35616,"White","Yes","Female",0,"1","1","0","1","0","1","1","Land/Wildlife Management","State/Provincial Government","1","0","1","0",NA,"0","0",0,"1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","1","0","0","0","0","1","0","0","1",0,"1",1,0,"",0,4,3,3,"1","1","1","1","1","1","1","1","1","1",2
100,"R_3OSVrRZ8iwEe1mS",1,1975,"1","Yes",36420,"White","No","Male",1,"1","1","0","0","","1","1","Education","Private Industry","1","0","1","1","1","0","0",0,"1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","1","1","0","1","1","1","1","1","1","0","1","0","0",1,"1",1,1,"",1,7,7,5,"1","1","1","1","1","1","1","1","1","1",5
100,"R_8ecw7NbnL1AdVnj",0.600000024,1984,"1","Yes",36093,"White","No","Male",1,"1","1","0","1","0","1","1","Land/Wildlife Management","Federal Government","0","0","0","0",NA,NA,NA,0,"0","1","1","1","1","1","1","0","0","0","0","0","1","1","0","1","0","0","1","1","1","1","0","1","1","0","1","1",1,"1",1,1,"",1,5,8,4,"1","1","1","1","1","1","0","1","1","1",4
100,"R_1pYHg9uqiVeKFKb",0.899999976,1987,"1","Yes",36693,"White","No","Male",1,"1","1","0","0","","1","1","Research","Academic/Research Institution","1","0","0","0",NA,"1",NA,0,"0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0","1","1","1",0,"0",1,0,"",1,5,1,3,"1","0","1","1","1","0","1","1","1","0",1
100,"R_7jTc2I9y8QiQuVX",0.899999976,1997,"0","Yes",36526,"White","No","Male",0,"1","1","0","0","","1","0","Land/Wildlife Management","Federal Government","1","1","0","0",NA,"0","0",0,"0","1","1","0","1","1","1","0","0","1","0","0","0","1","1","1","1","0","1","0","1","1","0","1","0","1","1","1",0,"1",0,1,"",1,2,5,3,"1","1","1","1","1","1","1","1","1","1",3
100,"R_6EGbV8cpek98PhX",0.899999976,1991,"0","Yes",36695,"White","No","Male",0,"1","1","0","1","1","1","1","Education","Nonprofit/Conservation Organization","0","0","0","0",NA,"0","0",0,"1","1","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1",0,"1",1,0,"",1,4,3,3,"1","1","1","1","1","1","1","0","1","1",2
100,"R_1dWamW0twOuNlvZ",0.899999976,1991,"0","Yes",36106,"White","No","Male",1,"1","1","0","0","","1","1","Administration","Nonprofit/Conservation Organization","0","0","0","0",NA,NA,NA,0,"1","1","1","1","1","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","1","1","1",0,"1",0,0,"",1,2,4,3,"1","1","1","1","1","1","0","1","1","1",1
