START,END,PROG,DURATION,FINISHED,RECORDED,ID,QSCORE,DOB,RESIDENT,ZIPCODE,RACE,ETHNICITY,GENDER,INCOME,EDUCATION,DEGREE,TWS,COURSE,COURSETIME,SELFTITLE,BIOTIME,ACTIVITY,ACTIVITYfill,othACTIVITY,AFFILIATE,AFFILIATEfill,othAFFILIATE,CONTACT,FIELD,COLLECT,HANDLE,STATE,PPE,PPETIME,COUNTIES,LICENSE,PIGS,BRUCE,CWD,FLUAL,FLU,COVID,COVIDSPILL,RABIESAL,RABIES,TURKEY,CWDAL,BATS,PPEREQ,EHD,DARWIN,POPRED,POPPLAN,SURVEY,VACCINE,PREVAL,DIVERSE,CONSEQ,CLIMATE,EDREQ,INFO,HANDSON,ACCESS,SOURCE,SOURCEfill,othSOURCE,INTEREST,FREEINFO,FREEINFOfill,othFREEINFO,TOPICS,TOPICSfill,othTOPICS,QSNCS
5/15/2024 14:11,5/15/2024 14:18,100,438,True,5/15/2024 14:18,R_15blYV6wxynsLC1,0.899999976,1985,Yes,36804,White,No,Male,"$100,001+",Graduate or Professional School,Yes,Yes,No,,Yes,10-20 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Rarely,10,No,Yes,Dead,Yes,Sometimes (25%-75%),"Barbour,Bullock,Chambers,Covington,Dallas,Hale,Lee",Yes,True,False,False,True,False,True,True,True,Bites,Incinerate,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Yes,"Academic Publications,News Sources","Academic Publications,News Sources",,Yes,One day virtual conference,One day virtual conference,,Vector borne diseases,Vector borne diseases,,
5/30/2024 17:45,5/30/2024 17:55,100,589,True,5/30/2024 17:55,R_15tt1PYLmeORFQy,0.899999976,1999,Yes,36830,White,No,Female,"$0-20,000",Some College/AA or AS (2-year degree),No,No,Yes,<5 years,Yes,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Weekly,40,No,Yes,Alive - Not Sedated,Yes,Always (100%),"Lee,Macon,Montgomery,Tallapoosa",No,True,I don't know,True,True,False,I don't know,True,True,Bites,I don't know,Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Yes,"Academic Publications,Social Media,Conferences","Academic Publications,Social Media,Conferences",,Yes,"One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health",,
5/30/2024 9:59,5/30/2024 10:04,100,282,True,5/30/2024 10:04,R_17UMLxYj6hrWFYO,0.899999976,2003,Yes,36832,White,No,Female,"$0-20,000",High school graduate/GED,No,No,No,,Yes,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Weekly,10,Yes,Yes,Alive - Not Sedated,Yes,Sometimes (25%-75%),Lee,No,True,I don't know,True,True,False,True,True,True,Bites,I don't know,Agree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,"State Wildlife Agency,Academic Publications,News Sources,Conferences","State Wildlife Agency,Academic Publications,News Sources,Conferences",,Yes,"One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
6/8/2024 8:19,6/8/2024 8:25,100,387,True,6/8/2024 8:25,R_17X3jWsXTL1iQbD,1,1999,Yes,36830,White,No,Male,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Rarely,30,No,No,,,,,No,True,I don't know,False,I don't know,False,I don't know,I don't know,I don't know,Blood,I don't know,Neutral,Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Yes,I have not looked for health information,I have not looked for health information,,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2",,
5/15/2024 10:57,5/15/2024 11:03,100,393,True,5/15/2024 11:03,R_1agj9jjmp2l6TRr,0.899999976,1973,Yes,36879,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Rarely,10,No,No,,No,,"DeKalb,Mobile",No,True,False,I don't know,I don't know,False,True,True,True,Bites,I don't know,Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Yes,Academic Publications,Academic Publications,,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/16/2024 9:07,5/16/2024 13:36,100,16128,True,5/16/2024 13:36,R_1CJXsOiDy2gHtdc,1,1980,Yes,35967,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Weekly,30,No,No,,No,,"Cherokee,DeKalb,Jackson",Yes,False,False,False,True,False,False,False,True,Bites,I don't know,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Agree,Disagree,No,State Wildlife Agency,State Wildlife Agency,,Yes,One day virtual conference,One day virtual conference,,CWD,CWD,,
5/22/2024 13:10,5/28/2024 13:21,100,519064,True,5/28/2024 13:21,R_1CUHv1VQVYXTiOI,0.899999976,1977,Yes,35677,White,No,Male,"$90,001-100,000",High school graduate/GED,No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Rarely,90,No,No,,Yes,Always (100%),Lauderdale,Yes,True,I don't know,False,I don't know,I don't know,I don't know,I don't know,True,Bites,Bury,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Yes,State Wildlife Agency,State Wildlife Agency,,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,CWD,CWD,,
5/21/2024 9:20,5/21/2024 9:27,100,398,True,5/21/2024 9:27,R_1dWamW0twOuNlvZ,0.899999976,1991,Yes,36106,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,5-10 years,Other,Administration,Public Policy,Nonprofit/Conservation Organization,Nonprofit/Conservation Organization,,Rarely,10,No,No,,,,Montgomery,Yes,True,False,False,True,False,True,I don't know,True,Bites,Bury,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Yes,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Vector borne diseases,CWD","Rabies,Influenza,Vector borne diseases,CWD",,
5/15/2024 13:24,5/15/2024 13:33,100,518,True,5/15/2024 13:33,R_1f7RnaFedqV4XKi,0.800000012,1995,Yes,36840,White,No,Male,"$20,001-30,000",Graduate or Professional School,Yes,No,No,,Yes,1-5 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Monthly,30,Yes,No,,No,,Tallapoosa,Yes,True,False,False,I don't know,False,True,True,I don't know,Bites,Incinerate,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,No,"State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications",,Yes,"One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/21/2024 12:40,5/21/2024 12:56,100,934,True,5/21/2024 12:56,R_1fe2ITJlZzQMlqR,0.899999976,1977,Yes,36272,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Consulting,Consulting,,Private Industry,Private Industry,,Daily,50,No,No,,No,,"Calhoun,Cherokee,DeKalb",Yes,True,False,False,True,False,True,True,True,Bites,Ignore,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Yes,"State Wildlife Agency,Academic Publications,Social Media,News Sources,Conferences","State Wildlife Agency,Academic Publications,Social Media,News Sources,Conferences",,Yes,One day virtual conference,One day virtual conference,,"Rabies,Raccoon roundworm,CWD","Rabies,Raccoon roundworm,CWD",,
5/30/2024 9:59,5/30/2024 10:05,100,397,True,5/30/2024 10:05,R_1fqGHH0Qy6ixjP4,0.899999976,2002,Yes,36830,White,No,Female,"$60,001-70,000",Some College/AA or AS (2-year degree),No,No,Yes,<5 years,No,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Weekly,70,Yes,Yes,Dead,No,,"Lee,Macon",No,I don't know,I don't know,True,True,False,I don't know,False,True,I don't know,Field dress and consumption,Neutral,Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Yes,"State Wildlife Agency,Conferences","State Wildlife Agency,Conferences",,Yes,"One day virtual conference,Year-long once a month virtual conference","One day virtual conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2",,
5/21/2024 11:11,5/21/2024 11:18,100,416,True,5/21/2024 11:18,R_1G0UJr2rbRxatfk,0.899999976,1985,Yes,36207,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,50,Yes,Yes,Dead,Yes,Always (100%),"Calhoun,Cherokee,Cleburne,DeKalb,Etowah",Yes,True,False,False,True,False,True,I don't know,True,Blood,Place in a dumpster,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Yes,State Wildlife Agency,State Wildlife Agency,,Yes,One day virtual conference,One day virtual conference,,"CWD,SarsCoV2","CWD,SarsCoV2",,
5/25/2024 11:02,5/25/2024 11:13,100,658,True,5/25/2024 11:13,R_1J6oLEDqsfiOIWl,,1987,Yes,35810,Black or African American,No,Female,"$50,001-60,000",Graduate or Professional School,Yes,No,No,,No,10-20 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Weekly,50,No,No,,Yes,Usually (>75%),"Jackson,Madison",Yes,True,False,False,True,False,True,True,True,Bites,I don't know,Disagree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Yes,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Yes,One day in-person conference,One day in-person conference,,Other,Other,Wide scope of diseases with a focus on more immediate threats like those carried in wild pigs,
5/21/2024 10:58,5/21/2024 11:25,100,1673,True,5/21/2024 11:25,R_1kdr4jLs8RtTxKM,1,1964,Yes,36360,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,No,,Yes,>20 years,Other,Administration,Admin fieldwork dealing with public,State/Provincial Government,State/Provincial Government,,Weekly,40,Yes,No,,Yes,Usually (>75%),"Barbour,Bullock,Coffee,Covington,Crenshaw,Dale,Elmore,Geneva,Henry,Houston,Lee,Macon,Montgomery,Pike,Russell",Yes,True,False,False,True,False,True,True,True,Bites,Incinerate,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Agree,Neutral,Yes,State Wildlife Agency,State Wildlife Agency,,Yes,One day in-person conference,One day in-person conference,,Other,All,All,
5/15/2024 16:08,5/15/2024 16:17,100,552,True,5/15/2024 16:17,R_1mQeank6q7nDkCB,0.899999976,1957,Yes,35603,I prefer not to answer,I prefer not to answer,Male,"$100,001+",Graduate or Professional School,Yes,Yes,No,,Yes,>20 years,Administration,Administration,,Federal Government,Federal Government,,Rarely,10,No,No,,,,,Yes,True,True,False,True,False,I don't know,I don't know,True,Bites,Incinerate,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Yes,Other,Other,Wildlife Health Lab,Yes,One day virtual conference,One day virtual conference,,CWD,CWD,,
5/21/2024 7:54,5/21/2024 8:00,100,338,True,5/21/2024 8:00,R_1pYHg9uqiVeKFKb,0.899999976,1987,Yes,36693,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,10-20 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Monthly,10,No,No,,No,,Mobile,No,True,I don't know,False,True,False,I don't know,True,True,Bites,I don't know,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Yes,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Unsure,"One day virtual conference,Year-long once a month virtual conference","One day virtual conference,Year-long once a month virtual conference",,Vector borne diseases,Vector borne diseases,,
5/16/2024 8:49,5/16/2024 9:05,100,947,True,5/16/2024 9:05,R_1qfwrMGnJM27O61,1,2001,Yes,35043,Black or African American,No,Female,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,<5 years,Yes,<1 year,Consulting,Consulting,,Federal Government,Federal Government,,Rarely,10,No,No,,Yes,Always (100%),,Yes,True,I don't know,True,True,I don't know,I don't know,I don't know,True,Bites,I don't know,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Yes,"State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications",,Yes,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
8/22/2024 13:36,8/22/2024 13:42,100,318,True,8/22/2024 13:42,R_1QGzsH0rbJ35jyF,0.699999988,2003,Yes,36801,White,No,Female,"$0-20,000",Some College/AA or AS (2-year degree),No,No,Yes,<5 years,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Other,Other,,Never,10,No,No,,No,,Lee,No,True,False,True,False,I don't know,True,True,True,Bites,Field dress and consumption,Neutral,Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Other,Other,,Yes,"One day virtual conference,Year-long once a month virtual conference","One day virtual conference,Year-long once a month virtual conference",,Other,Other,,
5/23/2024 15:46,5/23/2024 16:09,100,1355,True,5/23/2024 16:09,R_1Sjg1eP9aUqyzMg,0.5,1980,Yes,36317,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,40,Yes,Yes,Dead,Yes,Usually (>75%),"Barbour,Coffee,Dale,Geneva,Henry,Houston",Yes,True,False,False,True,False,True,True,True,Bites,Bury,Strongly Disagree,Agree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Yes,Academic Publications,Academic Publications,,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,Other,Other,lymphoproliferative disease,
5/28/2024 7:54,5/28/2024 11:11,100,11804,True,5/28/2024 11:11,R_1SkwRCLX6wCGt7y,0.899999976,1989,Yes,36420,White,No,Male,"$60,001-70,000",Graduate or Professional School,Yes,Yes,Yes,>10 years,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,Federal Government,Federal Government,,Monthly,40,No,No,,Yes,Usually (>75%),"Covington,Escambia",Yes,True,False,False,True,False,True,True,True,Bites,Ignore,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,News Sources,Conferences","State Wildlife Agency,News Sources,Conferences",,Yes,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/15/2024 13:55,5/15/2024 14:08,100,769,True,5/15/2024 14:08,R_1Uj3ybWqGuK5bbP,0.800000012,1987,Yes,35016,White,No,Male,"$90,001-100,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,Federal Government,Federal Government,,Daily,60,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Blount,Cullman,DeKalb,Etowah,Jackson,Jefferson,Limestone,Madison,Marshall,Morgan,Saint Clair,Tuscaloosa",Yes,True,False,False,True,False,True,I don't know,True,Bites,Ignore,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Yes,Other,Other,Colleagues,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD",,
5/20/2024 16:52,5/20/2024 17:13,100,1281,True,5/20/2024 17:13,R_1YaTWw2uLsfW24x,1,1976,Yes,35741,White,No,Female,"$80,001-90,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,>20 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Monthly,50,No,No,,Yes,Usually (>75%),"Jackson,Lawrence,Limestone,Madison,Winston",Yes,True,False,False,True,False,True,I don't know,True,Bites,Ignore,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,Academic Publications,News Sources","State Wildlife Agency,Academic Publications,News Sources",,Yes,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other",nongame diseases ie ranavirus SFD etc,"I think it would be great as wildlife professionals, if we had better / more training on wildlife disease. I learned most of what I know from past field training involving the collection of blood or other tissues and with field necropsies -  typically done when working as a technician (also while working as an assistant in a veterinary office). But a lot of field work, especially involving the handling of non-game wildlife, in my experience didn't include training on zoonoses.  "
